"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/06/2019 01:00,,,9.4,1.017
1/06/2019 02:00,6.3,6.2,9.0,1.017
1/06/2019 03:00,10.1,4.5,8.8,1.017
1/06/2019 04:00,9.6,6.9,8.8,1.016
1/06/2019 05:00,6.9,-0.5,8.9,1.016
1/06/2019 06:00,7.0,9.3,8.5,1.017
1/06/2019 07:00,7.8,8.6,8.6,1.017
1/06/2019 08:00,7.2,-2.2,8.5,1.018
1/06/2019 09:00,9.3,5.5,9.0,1.019
1/06/2019 10:00,5.9,1.6,10.9,1.019
1/06/2019 11:00,9.6,4.2,11.8,1.019
1/06/2019 12:00,9.1,1.3,13.0,1.018
1/06/2019 13:00,12.3,6.1,13.1,1.017
1/06/2019 14:00,10.6,10.4,14.4,1.017
1/06/2019 15:00,12.0,6.2,14.4,1.016
1/06/2019 16:00,15.8,8.7,13.4,1.016
1/06/2019 17:00,16.2,7.0,12.3,1.016
1/06/2019 18:00,20.4,9.7,11.4,1.017
1/06/2019 19:00,10.6,10.0,11.0,1.017
1/06/2019 20:00,13.6,6.0,11.0,1.017
1/06/2019 21:00,11.3,8.8,10.9,1.017
1/06/2019 22:00,10.4,5.8,10.6,1.018
1/06/2019 23:00,10.4,5.8,10.2,1.017
2/06/2019 00:00,3.9,3.2,10.2,1.017
2/06/2019 01:00,11.1,8.5,10.2,1.017
2/06/2019 02:00,10.1,8.1,10.1,1.017
2/06/2019 03:00,8.4,0.2,9.9,1.017
2/06/2019 04:00,5.4,2.4,9.8,1.016
2/06/2019 05:00,3.8,4.4,9.8,1.016
2/06/2019 06:00,3.3,3.2,10.0,1.016
2/06/2019 07:00,2.1,0.4,9.8,1.016
2/06/2019 08:00,4.7,0.2,9.1,1.016
2/06/2019 09:00,3.0,-3.7,9.1,1.017
2/06/2019 10:00,2.6,,10.6,1.016
2/06/2019 11:00,4.2,5.5,12.6,1.016
2/06/2019 12:00,,8.5,12.3,1.015
2/06/2019 13:00,3.4,,11.6,1.014
2/06/2019 14:00,2.1,2.3,12.4,1.014
2/06/2019 15:00,5.9,9.3,13.5,1.013
2/06/2019 16:00,10.8,5.8,13.4,1.013
2/06/2019 17:00,19.6,14.0,11.6,1.013
2/06/2019 18:00,18.7,9.0,10.4,1.014
2/06/2019 19:00,19.9,5.1,9.3,1.014
2/06/2019 20:00,26.2,8.1,8.6,1.014
2/06/2019 21:00,21.2,14.3,8.3,1.015
2/06/2019 22:00,14.0,9.8,8.9,1.015
2/06/2019 23:00,18.0,8.4,8.2,1.014
3/06/2019 00:00,22.1,6.3,8.1,1.014
3/06/2019 01:00,15.6,8.6,7.8,1.014
3/06/2019 02:00,8.7,6.1,7.1,1.013
3/06/2019 03:00,9.0,3.0,7.0,1.013
3/06/2019 04:00,9.9,2.1,6.8,1.013
