"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/03/2019 01:00,28.2,9.6,26.0,1.000
1/03/2019 02:00,20.7,8.7,25.1,1.000
1/03/2019 03:00,17.6,7.6,24.1,1.000
1/03/2019 04:00,18.6,10.4,23.6,1.000
1/03/2019 05:00,31.4,10.3,25.5,1.000
1/03/2019 06:00,26.9,4.5,25.9,1.001
1/03/2019 07:00,28.7,8.2,25.8,1.001
1/03/2019 08:00,33.3,9.4,27.0,1.002
1/03/2019 09:00,37.6,10.8,29.5,1.002
1/03/2019 10:00,34.9,9.3,34.0,1.002
1/03/2019 11:00,42.9,2.2,37.7,1.002
1/03/2019 12:00,49.1,8.0,40.4,1.001
1/03/2019 13:00,50.6,13.2,40.3,1.000
1/03/2019 14:00,46.1,10.1,38.6,0.999
1/03/2019 15:00,45.2,9.6,37.5,0.999
1/03/2019 16:00,35.0,15.4,37.1,0.998
1/03/2019 17:00,30.9,13.5,37.2,0.998
1/03/2019 18:00,35.7,7.5,36.5,0.998
1/03/2019 19:00,33.0,12.2,34.7,0.998
1/03/2019 20:00,35.9,10.5,32.8,0.999
1/03/2019 21:00,45.3,16.5,32.3,1.000
1/03/2019 22:00,40.3,5.9,32.6,1.000
1/03/2019 23:00,29.7,3.9,32.0,1.000
2/03/2019 00:00,18.3,2.7,31.0,1.000
2/03/2019 01:00,17.2,6.4,30.4,0.999
2/03/2019 02:00,20.6,3.8,30.2,0.999
2/03/2019 03:00,15.0,2.8,30.0,0.999
2/03/2019 04:00,19.3,5.3,29.3,0.999
2/03/2019 05:00,22.1,3.4,28.6,0.999
2/03/2019 06:00,22.0,4.9,28.4,1.000
2/03/2019 07:00,26.1,5.2,28.4,1.000
2/03/2019 08:00,27.6,4.2,28.9,1.001
2/03/2019 09:00,30.5,8.5,30.8,1.001
2/03/2019 10:00,25.8,0.4,34.7,1.001
2/03/2019 11:00,31.1,,38.2,1.001
2/03/2019 12:00,38.7,5.6,39.4,1.000
2/03/2019 13:00,35.1,3.9,39.9,1.000
2/03/2019 14:00,29.2,6.5,38.1,0.999
2/03/2019 15:00,26.8,5.7,36.7,0.999
2/03/2019 16:00,28.2,0.6,36.6,0.998
2/03/2019 17:00,21.5,4.3,36.6,0.998
2/03/2019 18:00,24.2,8.4,36.1,0.998
2/03/2019 19:00,23.2,10.9,33.8,0.999
2/03/2019 20:00,29.1,8.9,31.5,0.999
2/03/2019 21:00,30.7,12.7,31.3,0.999
2/03/2019 22:00,31.2,9.2,30.6,0.999
2/03/2019 23:00,23.0,8.2,29.8,0.999
3/03/2019 00:00,31.5,,28.3,0.999
3/03/2019 01:00,26.0,,26.2,0.999
3/03/2019 02:00,37.8,12.1,26.3,0.999
3/03/2019 03:00,41.7,19.8,26.1,0.999
3/03/2019 04:00,28.7,18.3,26.2,0.999
3/03/2019 05:00,28.2,7.8,24.7,1.000
3/03/2019 06:00,29.8,11.1,24.8,1.001
3/03/2019 07:00,23.5,,23.6,1.002
3/03/2019 08:00,27.3,3.7,24.6,1.003
3/03/2019 09:00,39.8,14.9,26.2,1.002
3/03/2019 10:00,51.1,25.5,30.0,1.003
3/03/2019 11:00,22.0,,28.1,1.004
3/03/2019 12:00,28.7,2.9,28.1,1.003
3/03/2019 13:00,40.6,14.7,30.1,1.002
3/03/2019 14:00,43.4,14.6,27.1,1.002
3/03/2019 15:00,38.8,11.3,27.9,1.002
3/03/2019 16:00,37.9,16.6,28.6,1.001
3/03/2019 17:00,42.5,15.3,29.1,1.001
3/03/2019 18:00,27.5,5.5,27.0,1.001
3/03/2019 19:00,36.5,13.0,25.9,1.001
3/03/2019 20:00,40.6,17.8,22.8,1.003
3/03/2019 21:00,33.6,18.0,21.8,1.003
3/03/2019 22:00,36.6,14.3,21.3,1.004
3/03/2019 23:00,36.3,21.2,21.0,1.004
4/03/2019 00:00,19.1,7.7,20.8,1.004
4/03/2019 01:00,25.1,7.9,21.0,1.003
4/03/2019 02:00,12.8,2.1,20.8,1.003
4/03/2019 03:00,13.2,6.5,20.0,1.003
4/03/2019 04:00,17.6,5.7,20.0,1.003
4/03/2019 05:00,15.0,2.2,19.6,1.003
4/03/2019 06:00,16.7,0.8,19.4,1.003
4/03/2019 07:00,28.0,3.7,19.4,1.004
4/03/2019 08:00,39.7,14.5,20.2,1.004
4/03/2019 09:00,34.2,8.9,22.1,1.004
4/03/2019 10:00,22.5,-0.3,27.6,1.004
4/03/2019 11:00,22.5,1.4,30.3,1.004
4/03/2019 12:00,17.4,6.6,32.6,1.003
4/03/2019 13:00,30.7,3.8,31.1,1.003
4/03/2019 14:00,35.6,11.7,29.6,1.002
4/03/2019 15:00,36.6,7.7,27.0,1.001
4/03/2019 16:00,28.4,10.6,26.8,1.001
4/03/2019 17:00,29.0,9.1,27.8,1.001
4/03/2019 18:00,28.7,8.7,27.4,1.001
4/03/2019 19:00,31.4,9.2,25.7,1.001
4/03/2019 20:00,35.6,24.1,24.0,1.002
4/03/2019 21:00,29.7,15.0,22.5,1.002
4/03/2019 22:00,25.0,12.2,22.2,1.002
4/03/2019 23:00,20.5,8.8,21.6,1.002
5/03/2019 00:00,,,20.7,1.002
5/03/2019 01:00,16.3,9.0,19.8,1.001
5/03/2019 02:00,10.3,1.5,18.6,1.001
5/03/2019 03:00,6.8,,18.1,1.001
5/03/2019 04:00,13.7,-2.2,17.6,1.000
5/03/2019 05:00,14.3,0.4,17.2,1.001
5/03/2019 06:00,12.5,-0.8,17.0,1.001
5/03/2019 07:00,18.8,4.5,16.6,1.001
5/03/2019 08:00,24.3,8.8,16.8,1.002
5/03/2019 09:00,16.4,3.7,18.4,1.002
5/03/2019 10:00,13.2,3.9,21.2,1.002
5/03/2019 11:00,9.9,3.9,22.7,1.002
5/03/2019 12:00,8.8,0.9,20.7,1.002
5/03/2019 13:00,10.9,1.2,21.5,1.001
5/03/2019 14:00,2.7,2.3,21.1,1.001
5/03/2019 15:00,3.9,1.9,21.3,1.000
5/03/2019 16:00,6.9,2.6,21.7,0.999
5/03/2019 17:00,7.5,0.9,21.0,1.000
5/03/2019 18:00,7.2,-0.6,20.4,1.000
5/03/2019 19:00,13.5,,19.4,1.000
5/03/2019 20:00,12.6,3.4,18.0,1.001
5/03/2019 21:00,2.8,3.7,16.6,1.002
5/03/2019 22:00,12.6,8.1,16.5,1.003
5/03/2019 23:00,21.6,13.5,16.9,1.003
6/03/2019 00:00,32.6,20.0,16.9,1.003
6/03/2019 01:00,28.9,16.8,15.9,1.003
6/03/2019 02:00,22.3,7.9,15.6,1.003
6/03/2019 03:00,19.2,7.9,15.8,1.003
6/03/2019 04:00,28.5,14.6,15.5,1.003
6/03/2019 05:00,19.9,1.6,14.4,1.003
6/03/2019 06:00,22.0,6.2,14.6,1.004
6/03/2019 07:00,23.0,12.9,14.8,1.005
6/03/2019 08:00,27.7,,15.5,1.006
6/03/2019 09:00,26.2,3.2,16.0,1.007
6/03/2019 10:00,16.8,2.0,16.4,1.007
6/03/2019 11:00,4.9,,16.5,1.007
6/03/2019 12:00,13.5,2.7,19.4,1.007
6/03/2019 13:00,14.3,0.2,17.9,1.007
6/03/2019 14:00,19.0,2.1,18.3,1.007
6/03/2019 15:00,18.0,4.6,18.7,1.006
6/03/2019 16:00,17.8,7.4,18.5,1.006
6/03/2019 17:00,18.7,3.5,18.6,1.006
6/03/2019 18:00,19.3,5.1,17.7,1.007
6/03/2019 19:00,23.7,8.1,16.3,1.008
6/03/2019 20:00,17.6,9.5,14.8,1.008
6/03/2019 21:00,15.8,4.3,14.1,1.009
6/03/2019 22:00,7.1,3.8,14.3,1.009
6/03/2019 23:00,16.2,0.7,13.9,1.009
7/03/2019 00:00,10.5,6.1,13.3,1.009
7/03/2019 01:00,14.9,5.9,12.8,1.009
7/03/2019 02:00,16.1,4.3,11.7,1.009
7/03/2019 03:00,12.3,4.2,11.2,1.009
7/03/2019 04:00,10.9,1.8,11.0,1.009
7/03/2019 05:00,9.6,1.5,11.0,1.009
7/03/2019 06:00,17.6,0.1,11.2,1.009
7/03/2019 07:00,14.7,6.3,11.4,1.009
7/03/2019 08:00,17.2,5.2,12.5,1.010
7/03/2019 09:00,19.4,1.7,14.4,1.009
7/03/2019 10:00,13.0,-1.0,18.6,1.009
7/03/2019 11:00,14.6,,22.2,1.008
7/03/2019 12:00,14.8,,23.7,1.007
7/03/2019 13:00,12.1,2.4,24.6,1.005
7/03/2019 14:00,18.1,3.0,23.8,1.004
7/03/2019 15:00,20.0,5.9,23.0,1.003
7/03/2019 16:00,21.3,,23.4,1.002
7/03/2019 17:00,25.0,1.9,23.5,1.002
7/03/2019 18:00,25.5,6.7,23.2,1.002
7/03/2019 19:00,23.5,5.2,22.0,1.002
7/03/2019 20:00,17.8,10.4,20.3,1.002
7/03/2019 21:00,16.1,7.6,19.4,1.003
7/03/2019 22:00,27.4,7.8,19.3,1.003
7/03/2019 23:00,28.6,8.0,19.3,1.002
8/03/2019 00:00,21.3,2.9,18.8,1.002
8/03/2019 01:00,18.7,4.6,18.2,1.002
8/03/2019 02:00,10.4,5.2,17.5,1.001
8/03/2019 03:00,10.4,3.1,17.1,1.001
8/03/2019 04:00,12.4,4.9,17.0,1.001
8/03/2019 05:00,16.2,5.9,16.9,1.001
8/03/2019 06:00,16.5,4.6,16.8,1.001
8/03/2019 07:00,21.7,6.2,17.4,1.001
8/03/2019 08:00,27.7,16.1,18.0,1.002
8/03/2019 09:00,28.7,12.8,20.3,1.002
8/03/2019 10:00,24.4,5.6,23.6,1.002
8/03/2019 11:00,24.5,7.4,25.5,1.002
8/03/2019 12:00,25.1,9.6,26.1,1.002
8/03/2019 13:00,36.0,7.5,24.9,1.002
8/03/2019 14:00,23.5,9.2,25.0,1.002
8/03/2019 15:00,22.3,8.7,25.0,1.002
8/03/2019 16:00,19.9,6.5,24.5,1.002
8/03/2019 17:00,9.9,7.4,23.8,1.002
8/03/2019 18:00,17.4,6.0,23.1,1.002
8/03/2019 19:00,20.5,10.1,22.7,1.002
8/03/2019 20:00,18.3,3.9,22.3,1.003
8/03/2019 21:00,12.5,8.4,21.8,1.004
8/03/2019 22:00,11.5,2.0,21.0,1.004
8/03/2019 23:00,6.0,-2.2,20.1,1.004
9/03/2019 00:00,10.5,,19.1,1.003
9/03/2019 01:00,12.5,-2.1,18.7,1.003
9/03/2019 02:00,6.9,1.1,18.6,1.003
9/03/2019 03:00,7.0,-1.2,18.2,1.003
9/03/2019 04:00,6.2,-0.5,17.7,1.003
9/03/2019 05:00,7.3,1.0,17.5,1.003
9/03/2019 06:00,6.9,,17.3,1.003
9/03/2019 07:00,7.6,6.2,17.1,1.004
9/03/2019 08:00,12.6,-0.6,18.1,1.005
9/03/2019 09:00,4.8,,20.2,1.005
9/03/2019 10:00,6.9,2.2,24.2,1.005
9/03/2019 11:00,15.0,9.8,24.8,1.005
9/03/2019 12:00,17.4,9.8,26.7,1.004
9/03/2019 13:00,20.7,12.9,27.0,1.004
9/03/2019 14:00,14.9,5.4,25.9,1.003
9/03/2019 15:00,6.4,,25.1,1.003
9/03/2019 16:00,6.4,,24.6,1.002
9/03/2019 17:00,6.7,-1.4,24.5,1.002
9/03/2019 18:00,11.0,6.9,23.5,1.003
9/03/2019 19:00,15.5,5.9,22.8,1.002
9/03/2019 20:00,13.9,0.8,21.8,1.003
9/03/2019 21:00,7.1,-1.0,20.7,1.003
9/03/2019 22:00,9.7,0.6,20.1,1.003
9/03/2019 23:00,13.7,2.6,19.8,1.003
10/03/2019 00:00,18.4,9.9,19.6,1.002
10/03/2019 01:00,19.7,9.2,19.0,1.002
10/03/2019 02:00,10.8,8.0,18.6,1.001
10/03/2019 03:00,10.8,4.4,18.3,1.001
10/03/2019 04:00,11.4,1.6,18.1,1.001
10/03/2019 05:00,6.2,,18.3,1.001
10/03/2019 06:00,13.2,0.6,18.1,1.001
10/03/2019 07:00,8.2,0.8,18.0,1.001
10/03/2019 08:00,7.3,2.3,18.9,1.001
10/03/2019 09:00,9.4,-1.4,20.7,1.001
10/03/2019 10:00,9.4,-0.1,22.5,1.001
10/03/2019 11:00,12.2,5.0,22.7,1.001
10/03/2019 12:00,10.0,5.4,24.1,1.000
10/03/2019 13:00,7.7,1.1,25.0,1.001
10/03/2019 14:00,10.7,3.4,23.8,1.000
10/03/2019 15:00,6.3,5.2,24.2,0.999
10/03/2019 16:00,6.7,3.7,23.6,0.999
10/03/2019 17:00,8.4,1.4,23.0,0.998
10/03/2019 18:00,10.6,3.4,22.4,0.998
10/03/2019 19:00,12.8,6.4,21.4,0.999
10/03/2019 20:00,14.1,2.4,21.0,0.999
10/03/2019 21:00,6.3,2.2,21.2,1.000
