"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/05/2019 01:00,3.2,6.4,12.6,0.989
1/05/2019 02:00,3.1,4.4,12.8,0.989
1/05/2019 03:00,2.9,1.3,13.0,0.989
1/05/2019 04:00,4.6,2.3,12.5,0.989
1/05/2019 05:00,6.4,2.7,12.5,0.990
1/05/2019 06:00,1.5,2.6,12.6,0.990
1/05/2019 07:00,7.4,3.3,12.4,0.991
1/05/2019 08:00,10.5,6.1,12.8,0.992
1/05/2019 09:00,16.7,4.5,13.5,0.993
1/05/2019 10:00,18.3,4.9,14.4,0.993
1/05/2019 11:00,12.6,5.2,16.8,0.993
1/05/2019 12:00,16.9,8.2,17.7,0.993
1/05/2019 13:00,18.7,6.1,15.4,0.993
1/05/2019 14:00,5.3,-0.8,15.7,0.992
1/05/2019 15:00,20.9,9.8,17.4,0.992
1/05/2019 16:00,25.5,10.2,18.0,0.992
1/05/2019 17:00,18.2,7.5,17.1,0.992
1/05/2019 18:00,15.4,2.3,14.2,0.994
1/05/2019 19:00,9.5,0.1,13.1,0.994
1/05/2019 20:00,10.0,-0.9,12.2,0.996
1/05/2019 21:00,7.7,3.6,11.5,0.996
1/05/2019 22:00,4.6,2.1,11.4,0.996
1/05/2019 23:00,6.1,6.2,11.4,0.996
2/05/2019 00:00,4.4,,11.6,0.996
2/05/2019 01:00,5.7,2.8,12.1,0.995
2/05/2019 02:00,7.4,1.7,12.7,0.995
2/05/2019 03:00,11.3,6.4,12.5,0.995
2/05/2019 04:00,9.4,7.0,11.8,0.995
2/05/2019 05:00,8.3,5.1,11.5,0.995
2/05/2019 06:00,8.3,-0.2,11.5,0.996
2/05/2019 07:00,7.5,2.4,12.0,0.997
2/05/2019 08:00,6.6,,12.0,0.998
2/05/2019 09:00,4.0,0.1,12.3,0.999
2/05/2019 10:00,1.0,,12.5,0.999
2/05/2019 11:00,1.9,1.1,12.8,1.000
2/05/2019 12:00,0.2,,15.1,1.000
2/05/2019 13:00,10.9,8.4,16.4,1.000
2/05/2019 14:00,17.4,10.7,16.3,1.000
2/05/2019 15:00,23.3,11.6,16.8,1.000
2/05/2019 16:00,22.9,23.9,15.9,1.000
2/05/2019 17:00,15.3,8.7,14.4,1.001
2/05/2019 18:00,12.3,5.3,11.8,1.001
2/05/2019 19:00,8.7,2.9,12.3,1.002
2/05/2019 20:00,6.0,5.8,11.8,1.002
2/05/2019 21:00,7.5,5.4,11.7,1.002
2/05/2019 22:00,8.5,4.6,11.5,1.003
2/05/2019 23:00,7.1,4.4,11.0,1.003
3/05/2019 00:00,15.2,11.7,10.6,1.003
3/05/2019 01:00,9.2,2.1,10.4,1.002
3/05/2019 02:00,6.9,2.2,10.0,1.002
3/05/2019 03:00,5.6,4.1,9.8,1.002
3/05/2019 04:00,4.3,4.3,9.9,1.002
3/05/2019 05:00,4.8,0.8,9.4,1.002
3/05/2019 06:00,6.7,2.4,9.3,1.002
3/05/2019 07:00,4.5,-0.1,9.8,1.002
3/05/2019 08:00,6.5,,10.3,1.002
3/05/2019 09:00,9.9,-3.1,11.9,1.002
3/05/2019 10:00,12.4,,14.1,1.002
3/05/2019 11:00,14.0,2.2,15.7,1.002
3/05/2019 12:00,15.6,3.4,16.0,1.002
3/05/2019 13:00,17.1,-0.1,16.6,1.001
3/05/2019 14:00,20.1,8.5,17.8,1.001
3/05/2019 15:00,19.1,12.2,17.0,1.001
3/05/2019 16:00,12.8,3.7,15.8,1.001
3/05/2019 17:00,13.4,2.4,15.2,1.001
3/05/2019 18:00,14.2,6.8,14.7,1.002
3/05/2019 19:00,15.6,10.0,14.9,1.002
3/05/2019 20:00,21.6,10.9,15.0,1.003
3/05/2019 21:00,14.7,6.2,14.1,1.004
3/05/2019 22:00,8.2,8.6,13.9,1.005
3/05/2019 23:00,11.6,1.1,14.2,1.005
4/05/2019 00:00,12.0,2.2,13.7,1.005
4/05/2019 01:00,7.1,4.4,13.6,1.006
4/05/2019 02:00,2.8,3.3,13.2,1.006
4/05/2019 03:00,10.7,4.1,12.6,1.006
4/05/2019 04:00,10.6,6.1,11.9,1.007
4/05/2019 05:00,11.9,4.7,12.0,1.007
4/05/2019 06:00,10.6,5.2,11.6,1.007
4/05/2019 07:00,9.8,1.9,12.0,1.008
4/05/2019 08:00,13.6,,12.7,1.008
4/05/2019 09:00,10.7,,14.1,1.009
4/05/2019 10:00,9.0,2.3,15.2,1.010
4/05/2019 11:00,11.9,4.1,16.5,1.010
4/05/2019 12:00,17.3,4.9,17.6,1.010
4/05/2019 13:00,11.5,4.5,18.3,1.009
4/05/2019 14:00,8.9,2.2,18.0,1.009
4/05/2019 15:00,9.7,2.6,17.9,1.009
4/05/2019 16:00,,,16.9,1.009
4/05/2019 17:00,1.2,0.9,16.3,1.009
4/05/2019 18:00,9.9,0.5,15.6,1.009
4/05/2019 19:00,10.4,5.5,15.5,1.010
4/05/2019 20:00,9.1,1.8,15.1,1.010
4/05/2019 21:00,8.7,6.4,14.8,1.010
4/05/2019 22:00,8.7,2.7,14.7,1.011
4/05/2019 23:00,11.4,3.3,14.6,1.011
5/05/2019 00:00,16.0,3.1,14.4,1.011
5/05/2019 01:00,11.6,4.2,14.4,1.011
5/05/2019 02:00,4.6,,13.9,1.011
5/05/2019 03:00,8.6,4.2,13.5,1.010
5/05/2019 04:00,17.7,8.3,13.4,1.010
5/05/2019 05:00,16.4,5.2,13.4,1.010
5/05/2019 06:00,10.6,7.5,13.4,1.010
5/05/2019 07:00,15.4,7.9,13.0,1.011
5/05/2019 08:00,14.5,3.6,12.6,1.011
5/05/2019 09:00,12.5,1.4,13.6,1.011
5/05/2019 10:00,13.0,6.0,14.7,1.012
5/05/2019 11:00,6.7,-0.7,16.7,1.012
5/05/2019 12:00,6.9,1.3,17.5,1.011
5/05/2019 13:00,8.6,4.6,18.2,1.010
5/05/2019 14:00,11.1,4.6,17.3,1.010
5/05/2019 15:00,8.3,2.7,17.4,1.009
5/05/2019 16:00,13.2,3.8,17.1,1.009
5/05/2019 17:00,9.0,6.2,16.6,1.009
5/05/2019 18:00,16.6,3.8,14.9,1.009
5/05/2019 19:00,12.7,8.1,13.6,1.010
5/05/2019 20:00,12.3,4.8,12.6,1.010
5/05/2019 21:00,14.8,4.9,11.6,1.010
5/05/2019 22:00,15.1,3.8,11.0,1.010
5/05/2019 23:00,7.5,2.4,11.1,1.010
6/05/2019 00:00,14.6,-0.2,10.9,1.009
6/05/2019 01:00,12.7,3.4,10.4,1.009
6/05/2019 02:00,3.2,1.4,10.7,1.009
6/05/2019 03:00,4.1,2.1,10.7,1.008
6/05/2019 04:00,2.8,0.2,10.5,1.008
6/05/2019 05:00,7.5,5.0,10.0,1.008
6/05/2019 06:00,18.0,8.0,8.9,1.009
6/05/2019 07:00,11.5,3.0,9.2,1.008
6/05/2019 08:00,13.1,5.3,9.8,1.008
6/05/2019 09:00,15.7,7.1,11.7,1.008
6/05/2019 10:00,16.4,8.1,14.0,1.008
6/05/2019 11:00,12.2,6.0,18.2,1.008
6/05/2019 12:00,9.8,4.3,19.9,1.007
6/05/2019 13:00,6.0,5.9,20.4,1.006
6/05/2019 14:00,17.6,4.7,19.3,1.005
6/05/2019 15:00,14.7,7.2,18.8,1.004
6/05/2019 16:00,18.7,10.4,18.7,1.003
6/05/2019 17:00,23.5,10.1,18.1,1.002
6/05/2019 18:00,32.6,11.4,17.3,1.002
6/05/2019 19:00,28.2,10.9,15.5,1.002
6/05/2019 20:00,28.5,11.3,14.4,1.002
6/05/2019 21:00,29.3,14.5,13.3,1.002
6/05/2019 22:00,25.7,14.2,13.1,1.002
6/05/2019 23:00,23.4,8.9,13.1,1.001
7/05/2019 00:00,10.6,3.9,13.5,1.000
7/05/2019 01:00,13.3,3.3,13.9,1.000
7/05/2019 02:00,12.7,2.5,13.7,1.000
7/05/2019 03:00,10.2,5.2,13.0,0.999
7/05/2019 04:00,10.0,5.3,12.6,0.998
7/05/2019 05:00,9.3,2.2,12.6,0.997
7/05/2019 06:00,6.3,3.3,13.0,0.997
7/05/2019 07:00,3.5,-0.9,12.9,0.997
7/05/2019 08:00,8.8,1.5,12.3,0.997
7/05/2019 09:00,14.0,2.7,13.8,0.997
7/05/2019 10:00,24.8,3.7,15.7,0.997
7/05/2019 11:00,33.2,-0.4,17.5,0.996
7/05/2019 12:00,28.7,-0.8,16.7,0.996
7/05/2019 13:00,14.1,-0.2,13.8,0.996
7/05/2019 14:00,6.7,2.0,13.8,0.996
7/05/2019 15:00,15.5,8.9,14.9,0.996
7/05/2019 16:00,21.0,16.5,14.1,0.997
7/05/2019 17:00,19.8,9.7,12.7,0.998
7/05/2019 18:00,17.3,7.2,13.4,0.999
7/05/2019 19:00,19.1,7.3,12.5,0.999
7/05/2019 20:00,19.5,8.4,12.6,1.000
7/05/2019 21:00,24.1,4.2,11.4,1.000
7/05/2019 22:00,7.8,4.3,11.1,1.001
7/05/2019 23:00,13.1,7.4,11.5,1.001
8/05/2019 00:00,,,12.4,1.001
8/05/2019 01:00,15.9,8.0,12.3,1.001
8/05/2019 02:00,19.3,3.8,12.5,1.001
8/05/2019 03:00,11.9,6.0,12.6,1.001
8/05/2019 04:00,13.1,2.7,12.7,1.001
8/05/2019 05:00,19.4,3.9,12.7,1.002
8/05/2019 06:00,19.7,4.2,12.6,1.002
8/05/2019 07:00,14.6,3.2,12.4,1.003
8/05/2019 08:00,18.1,,11.8,1.003
8/05/2019 09:00,19.2,2.5,11.9,1.004
8/05/2019 10:00,25.0,8.4,14.3,1.004
8/05/2019 11:00,19.4,4.2,16.6,1.004
8/05/2019 12:00,25.6,12.6,16.0,1.004
8/05/2019 13:00,14.4,4.1,16.0,1.004
8/05/2019 14:00,15.4,1.8,16.5,1.003
8/05/2019 15:00,15.6,5.2,16.1,1.003
8/05/2019 16:00,13.2,-0.9,15.0,1.003
8/05/2019 17:00,17.5,2.1,15.3,1.002
8/05/2019 18:00,23.0,7.8,14.7,1.002
8/05/2019 19:00,23.5,6.4,14.4,1.002
