"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/02/2019 01:00,52.0,8.4,15.3,1.004
1/02/2019 02:00,40.8,8.5,15.1,1.004
1/02/2019 03:00,28.8,5.5,14.6,1.004
1/02/2019 04:00,26.7,5.9,14.2,1.004
1/02/2019 05:00,17.8,3.7,14.0,1.003
1/02/2019 06:00,15.5,-0.4,13.7,1.004
1/02/2019 07:00,18.2,1.2,13.8,1.005
1/02/2019 08:00,18.2,,17.0,1.006
1/02/2019 09:00,16.6,-2.5,19.2,1.006
1/02/2019 10:00,17.9,2.0,22.7,1.006
1/02/2019 11:00,10.6,4.1,26.3,1.005
1/02/2019 12:00,14.0,2.8,28.7,1.004
1/02/2019 13:00,18.6,2.4,29.4,1.003
1/02/2019 14:00,18.8,4.6,27.6,1.003
1/02/2019 15:00,20.5,6.3,26.8,1.002
1/02/2019 16:00,20.4,2.6,26.3,1.001
1/02/2019 17:00,16.5,-1.3,26.4,1.001
1/02/2019 18:00,20.8,4.3,25.6,1.001
1/02/2019 19:00,16.9,4.3,24.2,1.001
1/02/2019 20:00,21.6,4.7,22.4,1.001
1/02/2019 21:00,22.2,4.8,20.8,1.001
1/02/2019 22:00,18.1,6.3,20.4,1.001
1/02/2019 23:00,17.0,3.6,20.5,1.001
2/02/2019 00:00,9.1,2.2,20.1,1.000
2/02/2019 01:00,8.6,3.4,19.7,1.000
2/02/2019 02:00,19.4,8.5,18.9,0.999
2/02/2019 03:00,20.7,4.1,18.6,0.999
2/02/2019 04:00,19.9,4.3,18.3,0.998
2/02/2019 05:00,17.5,7.0,18.3,0.998
2/02/2019 06:00,22.0,5.9,17.1,0.998
2/02/2019 07:00,18.3,8.2,17.7,0.999
2/02/2019 08:00,33.6,5.2,22.4,0.999
2/02/2019 09:00,27.0,1.1,27.5,0.999
2/02/2019 10:00,19.7,4.8,31.0,0.999
2/02/2019 11:00,15.3,3.4,33.9,0.998
2/02/2019 12:00,13.7,1.5,35.4,0.998
2/02/2019 13:00,29.0,6.9,36.0,0.997
2/02/2019 14:00,30.3,7.7,34.5,0.996
2/02/2019 15:00,33.8,7.1,33.7,0.996
2/02/2019 16:00,36.8,-1.4,34.0,0.995
2/02/2019 17:00,33.9,6.4,34.5,0.995
2/02/2019 18:00,32.9,8.4,34.2,0.994
2/02/2019 19:00,31.8,9.3,33.1,0.994
2/02/2019 20:00,27.2,4.5,31.9,0.994
2/02/2019 21:00,28.3,9.2,30.0,0.995
2/02/2019 22:00,26.3,5.5,29.0,0.995
2/02/2019 23:00,30.3,7.6,28.7,0.995
3/02/2019 00:00,41.5,14.8,28.3,0.995
3/02/2019 01:00,31.7,11.6,28.2,0.995
3/02/2019 02:00,24.9,7.5,28.0,0.994
