"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/06/2017 01:00,,,0.010,0.019,0.029,,0.39,0.46
1/06/2017 02:00,,,0.000,0.009,0.009,,0.26,0.46
1/06/2017 03:00,,,0.000,0.010,0.010,,0.25,0.45
1/06/2017 04:00,,,0.000,0.007,0.007,,0.18,0.41
1/06/2017 05:00,,,0.000,0.006,0.006,,0.15,0.37
1/06/2017 06:00,,,0.000,0.009,0.009,,0.15,0.32
1/06/2017 07:00,,,0.005,0.017,0.022,,0.20,0.27
1/06/2017 08:00,,,0.019,0.024,0.043,,0.29,0.24
1/06/2017 09:00,,,0.051,0.029,0.080,,0.58,0.26
1/06/2017 10:00,,,0.015,0.017,0.032,,0.51,0.29
1/06/2017 11:00,,,0.009,0.012,0.021,,0.15,0.28
1/06/2017 12:00,,,0.012,0.013,0.025,,0.23,0.28
1/06/2017 13:00,,,0.018,0.015,0.034,,0.24,0.29
1/06/2017 14:00,,,0.031,0.018,0.050,,0.22,0.30
1/06/2017 15:00,,,0.038,0.022,0.060,,0.25,0.31
1/06/2017 16:00,,,,,,,0.27,0.31
1/06/2017 17:00,,,0.094,0.048,0.142,,0.32,0.27
1/06/2017 18:00,,,0.103,0.045,0.148,,0.60,0.29
1/06/2017 19:00,,,0.068,0.037,0.104,,0.76,0.36
1/06/2017 20:00,,,0.046,0.031,0.077,,0.76,0.43
1/06/2017 21:00,,,0.041,0.028,0.069,,0.74,0.49
1/06/2017 22:00,,,0.059,0.027,0.086,,0.85,0.57
1/06/2017 23:00,,,0.151,0.033,0.184,,1.12,0.67
2/06/2017 00:00,,,0.102,0.027,0.130,,1.33,0.80
2/06/2017 01:00,,,0.020,0.024,0.043,,0.55,0.83
2/06/2017 02:00,,,,,,,0.26,0.79
2/06/2017 03:00,,,0.000,0.006,0.006,,,0.76
2/06/2017 04:00,,,0.000,0.005,0.005,,0.15,0.68
2/06/2017 05:00,,,0.000,0.007,0.007,,0.14,0.59
2/06/2017 06:00,,,0.009,0.015,0.023,,0.22,0.51
2/06/2017 07:00,,,0.024,0.021,0.044,,0.35,0.41
2/06/2017 08:00,,,0.040,0.027,0.067,,0.42,0.29
2/06/2017 09:00,,,0.105,0.035,0.139,,0.66,0.30
2/06/2017 10:00,,,0.082,0.027,0.109,,0.52,0.34
2/06/2017 11:00,,,0.014,0.015,0.029,,0.20,0.33
2/06/2017 12:00,,,0.020,0.017,0.037,,0.22,0.34
2/06/2017 13:00,,,0.018,0.016,0.035,,0.21,0.35
2/06/2017 14:00,,,0.023,0.018,0.041,,0.23,0.35
2/06/2017 15:00,,,0.035,0.021,0.056,,0.28,0.34
2/06/2017 16:00,,,0.041,0.029,0.070,,0.30,0.33
2/06/2017 17:00,,,0.124,0.046,0.170,,0.38,0.29
2/06/2017 18:00,,,0.077,0.042,0.119,,0.68,0.31
2/06/2017 19:00,,,0.068,0.039,0.107,,0.85,0.39
2/06/2017 20:00,,,0.049,0.031,0.080,,0.85,0.47
2/06/2017 21:00,,,0.025,0.027,0.052,,0.70,0.53
2/06/2017 22:00,,,0.013,0.024,0.037,,0.58,0.58
2/06/2017 23:00,,,0.007,0.021,0.028,,0.44,0.60
3/06/2017 00:00,,,0.003,0.016,0.019,,0.32,0.60
3/06/2017 01:00,,,0.003,0.018,0.022,,0.44,0.61
3/06/2017 02:00,,,0.001,0.012,0.013,,0.30,0.56
3/06/2017 03:00,,,0.000,0.009,0.009,,0.19,0.48
3/06/2017 04:00,,,0.000,0.006,0.006,,0.16,0.39
3/06/2017 05:00,,,0.002,0.008,0.009,,0.17,0.32
3/06/2017 06:00,,,0.000,0.010,0.010,,0.18,0.27
3/06/2017 07:00,,,0.008,0.018,0.027,,0.26,0.25
3/06/2017 08:00,,,0.012,0.020,0.032,,0.27,0.25
3/06/2017 09:00,,,0.039,0.026,0.065,,0.37,0.24
3/06/2017 10:00,,,0.018,0.020,0.038,,0.31,0.24
3/06/2017 11:00,,,0.018,0.017,0.035,,0.34,0.26
