Date/Time,O3 UVA ppm,O3 4hr UVA ppm,NO Chemiluminescence ppm,NO2 calc Chemiluminescence ppm,NOx Chemiluminescence ppm,SO2 UVF ppm,CO GPC ppm,CO 8hr GPC ppm
1/05/2015 1:00,,,0.021,0.028,0.049,,0.46,0.3
1/05/2015 2:00,,,,,,,0.2,0.28
1/05/2015 3:00,,,0.013,0.026,0.039,,,0.27
1/05/2015 4:00,,,0.003,0.016,0.019,,0.2,0.26
1/05/2015 5:00,,,0.001,0.009,0.01,,0.13,0.25
1/05/2015 6:00,,,0.003,0.011,0.014,,0.13,0.24
1/05/2015 7:00,,,0.026,0.019,0.045,,0.27,0.25
1/05/2015 8:00,,,0.023,0.023,0.046,,0.35,0.25
1/05/2015 9:00,,,0.038,0.028,0.065,,0.49,0.25
1/05/2015 10:00,,,0.044,0.024,0.067,,0.42,0.28
1/05/2015 11:00,,,0.046,0.027,0.073,,0.37,0.3
1/05/2015 12:00,,,0.033,0.022,0.055,,0.31,0.31
1/05/2015 13:00,,,0.073,0.032,0.105,,0.4,0.34
1/05/2015 14:00,,,0.052,0.029,0.081,,0.31,0.36
1/05/2015 15:00,,,0.032,0.025,0.057,,0.37,0.38
1/05/2015 16:00,,,0.048,0.028,0.075,,0.41,0.39
1/05/2015 17:00,,,0.085,0.043,0.127,,0.57,0.39
1/05/2015 18:00,,,0.105,0.046,0.151,,0.92,0.46
1/05/2015 19:00,,,0.027,0.038,0.064,,0.58,0.48
1/05/2015 20:00,,,0.009,0.031,0.04,,0.44,0.5
1/05/2015 21:00,,,0.007,0.03,0.037,,0.45,0.51
1/05/2015 22:00,,,0.003,0.021,0.024,,0.36,0.51
1/05/2015 23:00,,,0.001,0.012,0.013,,0.26,0.5
2/05/2015 0:00,,,0.001,0.011,0.012,,0.24,0.48
2/05/2015 1:00,,,0,0.008,0.008,,0.12,0.43
2/05/2015 2:00,,,0.001,0.008,0.008,,0.12,0.32
2/05/2015 3:00,,,0.001,0.007,0.008,,0.11,0.26
2/05/2015 4:00,,,0,0.007,0.007,,0.11,0.22
2/05/2015 5:00,,,0,0.006,0.006,,0.09,0.17
2/05/2015 6:00,,,0,0.006,0.006,,0.09,0.14
2/05/2015 7:00,,,0.001,0.008,0.009,,0.13,0.12
2/05/2015 8:00,,,0.005,0.011,0.016,,0.13,0.11
2/05/2015 9:00,,,0.009,0.013,0.023,,0.15,0.12
2/05/2015 10:00,,,0.013,0.013,0.026,,0.18,0.12
2/05/2015 11:00,,,0.015,0.013,0.028,,0.23,0.14
2/05/2015 12:00,,,0.01,0.009,0.019,,0.19,0.15
2/05/2015 13:00,,,0.019,0.015,0.033,,0.19,0.16
2/05/2015 14:00,,,0.009,0.009,0.018,,0.18,0.17
2/05/2015 15:00,,,0.01,0.008,0.019,,0.21,0.18
2/05/2015 16:00,,,0.014,0.01,0.024,,0.19,0.19
2/05/2015 17:00,,,0.013,0.009,0.021,,0.15,0.19
2/05/2015 18:00,,,0.026,0.015,0.04,,0.18,0.19
2/05/2015 19:00,,,0.017,0.015,0.032,,0.26,0.19
2/05/2015 20:00,,,0.021,0.021,0.042,,0.37,0.22
2/05/2015 21:00,,,0.015,0.022,0.036,,0.46,0.25
2/05/2015 22:00,,,0.01,0.015,0.025,,0.35,0.27
2/05/2015 23:00,,,0.005,0.016,0.021,,0.4,0.29
3/05/2015 0:00,,,0.015,0.02,0.034,,0.64,0.34
3/05/2015 1:00,,,0.016,0.02,0.035,,0.49,0.39
3/05/2015 2:00,,,,,,,0.42,0.42
3/05/2015 3:00,,,0.006,0.012,0.017,,,0.43
3/05/2015 4:00,,,0.003,0.01,0.013,,0.27,0.42
3/05/2015 5:00,,,0.001,0.007,0.008,,0.21,0.38
3/05/2015 6:00,,,0.001,0.006,0.007,,0.16,0.36
3/05/2015 7:00,,,0.001,0.007,0.008,,0.17,0.33
3/05/2015 8:00,,,0.003,0.006,0.009,,0.19,0.27
3/05/2015 9:00,,,0.003,0.005,0.008,,0.12,0.22
3/05/2015 10:00,,,0.006,0.006,0.012,,0.13,0.18
3/05/2015 11:00,,,0.012,0.01,0.021,,0.22,0.18
3/05/2015 12:00,,,,,,,,0.17
3/05/2015 13:00,,,,,,,,0.17
3/05/2015 14:00,,,,,,,,
3/05/2015 15:00,,,,,,,,
3/05/2015 16:00,,,,,,,,
3/05/2015 17:00,,,,,,,,
3/05/2015 18:00,,,,,,,,
3/05/2015 19:00,,,,,,,,
3/05/2015 20:00,,,,,,,,
3/05/2015 21:00,,,,,,,,
3/05/2015 22:00,,,,,,,,
3/05/2015 23:00,,,,,,,,
4/05/2015 0:00,,,,,,,,
4/05/2015 1:00,,,,,,,,
4/05/2015 2:00,,,,,,,,
4/05/2015 3:00,,,,,,,,
4/05/2015 4:00,,,,,,,,
