"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/01/2017 01:00,,,0.124,0.019,0.143,,0.15,0.12
1/01/2017 02:00,,,,,,,0.15,0.12
1/01/2017 03:00,,,0.036,0.012,0.048,,,0.13
1/01/2017 04:00,,,0.003,0.006,0.009,,0.15,0.13
1/01/2017 05:00,,,0.008,0.004,0.012,,0.08,0.13
1/01/2017 06:00,,,0.000,0.001,0.001,,0.09,0.12
1/01/2017 07:00,,,0.001,0.001,0.002,,0.08,0.12
1/01/2017 08:00,,,0.006,0.004,0.009,,0.08,0.11
1/01/2017 09:00,,,0.010,0.004,0.013,,0.07,0.10
1/01/2017 10:00,,,0.011,0.004,0.015,,0.09,0.09
1/01/2017 11:00,,,0.010,0.003,0.013,,0.07,0.09
1/01/2017 12:00,,,0.008,0.003,0.012,,0.08,0.08
1/01/2017 13:00,,,0.009,0.005,0.013,,0.08,0.08
1/01/2017 14:00,,,0.008,0.004,0.011,,0.08,0.08
1/01/2017 15:00,,,0.005,0.003,0.008,,0.08,0.08
1/01/2017 16:00,,,0.005,0.003,0.008,,0.07,0.08
1/01/2017 17:00,,,0.010,0.004,0.014,,0.07,0.08
1/01/2017 18:00,,,0.011,0.006,0.016,,0.06,0.07
1/01/2017 19:00,,,0.010,0.007,0.017,,0.06,0.07
1/01/2017 20:00,,,0.024,0.007,0.031,,0.07,0.07
1/01/2017 21:00,,,0.017,0.007,0.024,,0.06,0.07
1/01/2017 22:00,,,0.010,0.003,0.013,,0.05,0.06
1/01/2017 23:00,,,0.001,0.002,0.003,,0.05,0.06
2/01/2017 00:00,,,0.000,0.000,0.000,,0.04,0.06
2/01/2017 01:00,,,0.000,0.000,0.000,,0.04,0.05
2/01/2017 02:00,,,0.000,0.001,0.001,,0.04,0.05
2/01/2017 03:00,,,0.000,0.001,0.001,,0.04,0.05
2/01/2017 04:00,,,0.000,0.000,0.000,,0.04,0.05
2/01/2017 05:00,,,0.000,0.001,0.001,,0.04,0.04
2/01/2017 06:00,,,0.000,0.001,0.001,,0.08,0.05
2/01/2017 07:00,,,0.002,0.003,0.005,,0.07,0.05
2/01/2017 08:00,,,0.003,0.003,0.006,,0.07,0.05
2/01/2017 09:00,,,0.012,0.004,0.016,,0.06,0.05
2/01/2017 10:00,,,0.013,0.005,0.018,,0.09,0.06
2/01/2017 11:00,,,0.009,0.004,0.013,,0.07,0.06
2/01/2017 12:00,,,0.006,0.004,0.010,,0.09,0.07
2/01/2017 13:00,,,0.012,0.005,0.017,,0.09,0.08
2/01/2017 14:00,,,0.016,0.008,0.023,,0.09,0.08
2/01/2017 15:00,,,0.005,0.004,0.008,,0.07,0.08
2/01/2017 16:00,,,0.004,0.002,0.006,,0.07,0.08
2/01/2017 17:00,,,0.007,0.003,0.010,,0.08,0.08
2/01/2017 18:00,,,0.004,0.003,0.007,,0.05,0.08
2/01/2017 19:00,,,0.006,0.003,0.009,,0.05,0.07
2/01/2017 20:00,,,0.012,0.003,0.015,,0.07,0.07
2/01/2017 21:00,,,0.004,0.003,0.007,,0.07,0.07
2/01/2017 22:00,,,0.003,0.002,0.005,,0.07,0.07
2/01/2017 23:00,,,0.001,0.002,0.003,,0.04,0.06
3/01/2017 00:00,,,0.000,0.001,0.001,,0.04,0.06
3/01/2017 01:00,,,0.001,0.001,0.001,,0.04,0.06
3/01/2017 02:00,,,,,,,0.04,0.05
3/01/2017 03:00,,,0.001,0.001,0.002,,,0.05
3/01/2017 04:00,,,0.001,0.001,0.002,,0.04,0.05
3/01/2017 05:00,,,0.000,0.001,0.001,,0.03,0.04
3/01/2017 06:00,,,0.007,0.004,0.011,,0.05,0.04
3/01/2017 07:00,,,0.070,0.014,0.084,,0.15,0.05
3/01/2017 08:00,,,0.089,0.026,0.115,,0.17,0.07
3/01/2017 09:00,,,0.053,0.012,0.065,,0.13,0.08
3/01/2017 10:00,,,0.045,0.020,0.065,,0.14,0.10
3/01/2017 11:00,,,0.042,0.018,0.060,,0.15,0.11
3/01/2017 12:00,,,0.016,0.011,0.027,,0.09,0.11
3/01/2017 13:00,,,0.008,0.008,0.016,,0.07,0.12
3/01/2017 14:00,,,0.038,0.015,0.053,,0.11,0.12
3/01/2017 15:00,,,0.022,0.015,0.036,,0.10,0.12
3/01/2017 16:00,,,0.033,0.017,0.050,,0.14,0.11
3/01/2017 17:00,,,0.043,0.020,0.063,,0.12,0.11
3/01/2017 18:00,,,0.023,0.017,0.040,,0.12,0.11
3/01/2017 19:00,,,0.050,0.028,0.077,,0.09,0.10
3/01/2017 20:00,,,0.023,0.009,0.032,,0.11,0.11
3/01/2017 21:00,,,0.010,0.009,0.019,,0.11,0.11
3/01/2017 22:00,,,0.006,0.007,0.013,,0.09,0.11
3/01/2017 23:00,,,0.005,0.010,0.015,,0.13,0.11
4/01/2017 00:00,,,0.000,0.006,0.006,,0.09,0.11
4/01/2017 01:00,,,0.000,0.001,0.001,,0.05,0.10
4/01/2017 02:00,,,0.000,0.001,0.001,,0.05,0.09
4/01/2017 03:00,,,0.000,0.001,0.001,,0.05,0.08
4/01/2017 04:00,,,0.000,0.002,0.002,,0.04,0.08
4/01/2017 05:00,,,0.001,0.005,0.006,,0.08,0.07
4/01/2017 06:00,,,0.035,0.024,0.059,,0.16,0.08
4/01/2017 07:00,,,0.081,0.030,0.110,,0.34,0.11
4/01/2017 08:00,,,0.129,0.042,0.171,,0.42,0.15
4/01/2017 09:00,,,0.069,0.045,0.114,,0.22,0.17
4/01/2017 10:00,,,0.100,0.031,0.131,,0.21,0.19
4/01/2017 11:00,,,0.040,0.018,0.058,,0.14,0.20
4/01/2017 12:00,,,0.012,0.014,0.026,,0.13,0.21
4/01/2017 13:00,,,0.029,0.024,0.053,,0.16,0.22
4/01/2017 14:00,,,0.009,0.013,0.022,,0.10,0.22
4/01/2017 15:00,,,0.010,0.016,0.025,,0.11,0.19
4/01/2017 16:00,,,0.017,0.020,0.037,,0.13,0.15
4/01/2017 17:00,,,0.015,0.022,0.037,,0.11,0.14
4/01/2017 18:00,,,0.008,0.015,0.022,,0.11,0.12
4/01/2017 19:00,,,0.003,0.009,0.011,,0.10,0.12
4/01/2017 20:00,,,0.001,0.007,0.008,,0.06,0.11
4/01/2017 21:00,,,0.002,0.006,0.008,,0.06,0.10
4/01/2017 22:00,,,0.001,0.005,0.006,,0.05,0.09
4/01/2017 23:00,,,0.000,0.002,0.002,,0.04,0.08
5/01/2017 00:00,,,0.000,0.001,0.001,,0.03,0.07
5/01/2017 01:00,,,0.000,0.001,0.001,,0.03,0.06
5/01/2017 02:00,,,,,,,0.03,0.05
5/01/2017 03:00,,,0.001,0.002,0.003,,,0.04
5/01/2017 04:00,,,0.000,0.001,0.001,,0.05,0.04
5/01/2017 05:00,,,0.001,0.004,0.006,,0.06,0.04
5/01/2017 06:00,,,0.019,0.023,0.042,,0.19,0.06
5/01/2017 07:00,,,0.025,0.025,0.050,,0.19,0.08
5/01/2017 08:00,,,0.024,0.023,0.046,,0.20,0.10
5/01/2017 09:00,,,0.013,0.017,0.030,,0.16,0.12
5/01/2017 10:00,,,0.012,0.016,0.029,,0.16,0.14
5/01/2017 11:00,,,0.003,0.009,0.012,,0.15,0.14
5/01/2017 12:00,,,0.007,0.013,0.020,,0.17,0.16
5/01/2017 13:00,,,0.007,0.011,0.018,,0.17,0.17
5/01/2017 14:00,,,0.004,0.010,0.014,,0.18,0.17
5/01/2017 15:00,,,0.013,0.017,0.030,,0.20,0.17
5/01/2017 16:00,,,0.004,0.013,0.016,,0.20,0.17
5/01/2017 17:00,,,0.013,0.021,0.033,,0.24,0.18
5/01/2017 18:00,,,0.004,0.012,0.016,,0.23,0.19
5/01/2017 19:00,,,0.000,0.005,0.005,,0.16,0.19
5/01/2017 20:00,,,0.000,0.005,0.005,,0.13,0.19
5/01/2017 21:00,,,0.000,0.004,0.004,,0.13,0.18
5/01/2017 22:00,,,0.000,0.003,0.003,,0.12,0.18
5/01/2017 23:00,,,0.000,0.005,0.005,,0.14,0.17
6/01/2017 00:00,,,0.000,0.003,0.003,,0.12,0.16
6/01/2017 01:00,,,0.000,0.003,0.003,,0.12,0.14
6/01/2017 02:00,,,-0.001,0.003,0.003,,0.12,0.13
6/01/2017 03:00,,,0.000,0.003,0.003,,0.12,0.13
6/01/2017 04:00,,,0.000,0.004,0.003,,0.11,0.12
6/01/2017 05:00,,,0.001,0.015,0.015,,0.16,0.13
6/01/2017 06:00,,,0.001,0.014,0.015,,0.18,0.13
6/01/2017 07:00,,,0.009,0.019,0.028,,0.24,0.15
6/01/2017 08:00,,,0.021,0.025,0.046,,0.28,0.17
6/01/2017 09:00,,,0.008,0.016,0.023,,0.19,0.18
6/01/2017 10:00,,,0.014,0.014,0.028,,0.17,0.18
6/01/2017 11:00,,,0.009,0.017,0.026,,0.18,0.19
6/01/2017 12:00,,,0.012,0.016,0.028,,0.18,0.20
6/01/2017 13:00,,,0.003,0.007,0.011,,0.14,0.19
6/01/2017 14:00,,,0.009,0.012,0.021,,0.14,0.19
6/01/2017 15:00,,,0.013,0.016,0.029,,0.15,0.18
6/01/2017 16:00,,,0.011,0.018,0.029,,0.20,0.17
6/01/2017 17:00,,,0.013,0.022,0.035,,0.16,0.16
6/01/2017 18:00,,,0.007,0.013,0.020,,0.12,0.16
6/01/2017 19:00,,,0.004,0.011,0.015,,0.11,0.15
6/01/2017 20:00,,,0.034,0.017,0.051,,0.13,0.15
6/01/2017 21:00,,,0.019,0.015,0.034,,0.11,0.14
6/01/2017 22:00,,,0.008,0.019,0.027,,0.11,0.14
6/01/2017 23:00,,,0.023,0.011,0.034,,0.10,0.13
7/01/2017 00:00,,,0.000,0.002,0.002,,0.06,0.11
7/01/2017 01:00,,,0.000,0.001,0.001,,0.04,0.10
7/01/2017 02:00,,,,,,,0.05,0.09
7/01/2017 03:00,,,0.000,0.001,0.001,,,0.08
7/01/2017 04:00,,,0.000,0.001,0.001,,0.06,0.07
7/01/2017 05:00,,,0.000,0.002,0.001,,0.05,0.06
7/01/2017 06:00,,,0.000,0.003,0.003,,0.10,0.06
7/01/2017 07:00,,,0.001,0.007,0.008,,0.10,0.06
7/01/2017 08:00,,,0.002,0.006,0.008,,0.11,0.07
7/01/2017 09:00,,,0.002,0.007,0.009,,0.13,0.08
7/01/2017 10:00,,,0.002,0.008,0.010,,0.14,0.09
7/01/2017 11:00,,,0.001,0.008,0.009,,0.13,0.10
7/01/2017 12:00,,,0.010,0.021,0.031,,0.20,0.12
7/01/2017 13:00,,,0.018,0.021,0.038,,0.16,0.13
7/01/2017 14:00,,,0.016,0.020,0.036,,0.15,0.14
7/01/2017 15:00,,,0.009,0.018,0.027,,0.20,0.15
7/01/2017 16:00,,,0.022,0.019,0.041,,0.16,0.16
7/01/2017 17:00,,,0.010,0.017,0.027,,0.21,0.17
7/01/2017 18:00,,,0.019,0.017,0.036,,0.18,0.17
7/01/2017 19:00,,,0.007,0.007,0.013,,0.15,0.17
7/01/2017 20:00,,,0.022,0.012,0.034,,0.14,0.17
7/01/2017 21:00,,,0.007,0.008,0.014,,0.16,0.17
7/01/2017 22:00,,,0.014,0.015,0.029,,0.17,0.17
7/01/2017 23:00,,,0.016,0.012,0.028,,0.15,0.16
8/01/2017 00:00,,,0.002,0.005,0.007,,0.16,0.16
8/01/2017 01:00,,,0.001,0.003,0.004,,0.10,0.15
8/01/2017 02:00,,,0.001,0.001,0.002,,0.09,0.14
8/01/2017 03:00,,,0.005,0.006,0.011,,0.10,0.13
8/01/2017 04:00,,,0.001,0.003,0.004,,0.11,0.13
8/01/2017 05:00,,,0.000,0.001,0.001,,0.11,0.12
8/01/2017 06:00,,,0.000,0.001,0.001,,0.08,0.11
8/01/2017 07:00,,,0.035,0.020,0.055,,0.07,0.10
8/01/2017 08:00,,,0.024,0.012,0.035,,0.08,0.09
8/01/2017 09:00,,,0.008,0.005,0.013,,0.12,0.10
8/01/2017 10:00,,,0.010,0.005,0.015,,0.12,0.10
8/01/2017 11:00,,,0.013,0.008,0.021,,0.14,0.10
8/01/2017 12:00,,,0.013,0.008,0.020,,0.12,0.11
8/01/2017 13:00,,,0.009,0.010,0.019,,0.10,0.11
8/01/2017 14:00,,,0.023,0.013,0.036,,0.10,0.11
8/01/2017 15:00,,,0.011,0.008,0.019,,0.12,0.11
8/01/2017 16:00,,,0.027,0.010,0.037,,0.12,0.12
8/01/2017 17:00,,,0.006,0.008,0.014,,0.12,0.12
8/01/2017 18:00,,,0.029,0.013,0.042,,0.12,0.12
8/01/2017 19:00,,,0.022,0.009,0.031,,0.17,0.12
8/01/2017 20:00,,,0.006,0.007,0.014,,0.17,0.13
8/01/2017 21:00,,,0.004,0.007,0.011,,0.15,0.13
8/01/2017 22:00,,,0.002,0.007,0.009,,0.15,0.14
8/01/2017 23:00,,,0.002,0.007,0.009,,0.20,0.15
9/01/2017 00:00,,,0.000,0.005,0.005,,0.10,0.15
9/01/2017 01:00,,,0.001,0.004,0.004,,0.09,0.14
9/01/2017 02:00,,,,,,,0.07,0.13
9/01/2017 03:00,,,0.000,0.001,0.002,,,0.12
9/01/2017 04:00,,,0.001,0.003,0.004,,0.07,0.11
9/01/2017 05:00,,,0.000,0.002,0.002,,0.06,0.10
9/01/2017 06:00,,,0.000,0.004,0.004,,0.08,0.09
9/01/2017 07:00,,,0.010,0.009,0.019,,0.12,0.08
9/01/2017 08:00,,,0.024,0.012,0.036,,0.18,0.09
9/01/2017 09:00,,,0.009,0.009,0.018,,0.15,0.10
9/01/2017 10:00,,,0.016,0.008,0.024,,0.13,0.11
9/01/2017 11:00,,,0.004,0.008,0.012,,0.13,0.12
9/01/2017 12:00,,,0.024,0.014,0.038,,0.26,0.14
9/01/2017 13:00,,,0.050,0.022,0.072,,0.31,0.17
9/01/2017 14:00,,,0.033,0.021,0.053,,0.22,0.19
9/01/2017 15:00,,,0.094,0.056,0.150,,0.19,0.20
9/01/2017 16:00,,,0.093,0.051,0.144,,0.24,0.20
9/01/2017 17:00,,,0.103,0.066,0.169,,0.25,0.22
9/01/2017 18:00,,,0.054,0.030,0.084,,0.27,0.23
9/01/2017 19:00,,,0.050,0.033,0.083,,0.22,0.24
9/01/2017 20:00,,,0.004,0.008,0.012,,0.18,0.24
9/01/2017 21:00,,,0.001,0.006,0.007,,0.12,0.21
9/01/2017 22:00,,,0.001,0.006,0.007,,0.11,0.20
9/01/2017 23:00,,,0.000,0.003,0.003,,0.08,0.19
10/01/2017 00:00,,,0.000,0.003,0.003,,0.08,0.17
10/01/2017 01:00,,,0.000,0.002,0.002,,0.08,0.14
10/01/2017 02:00,,,0.000,0.002,0.002,,0.07,0.12
10/01/2017 03:00,,,0.000,0.001,0.001,,0.06,0.10
10/01/2017 04:00,,,0.000,0.001,0.001,,0.06,0.08
10/01/2017 05:00,,,0.000,0.002,0.002,,0.07,0.08
10/01/2017 06:00,,,0.001,0.009,0.010,,0.12,0.08
10/01/2017 07:00,,,0.040,0.018,0.058,,0.27,0.10
10/01/2017 08:00,,,0.038,0.021,0.058,,0.30,0.13
10/01/2017 09:00,,,0.063,0.024,0.087,,0.42,0.17
10/01/2017 10:00,,,0.043,0.022,0.065,,0.25,0.19
10/01/2017 11:00,,,0.030,0.019,0.049,,0.25,0.22
10/01/2017 12:00,,,0.037,0.020,0.057,,0.21,0.24
10/01/2017 13:00,,,0.063,0.025,0.089,,0.24,0.26
10/01/2017 14:00,,,0.055,0.021,0.076,,0.16,0.26
10/01/2017 15:00,,,0.045,0.033,0.078,,0.15,0.25
10/01/2017 16:00,,,0.064,0.028,0.092,,0.17,0.23
10/01/2017 17:00,,,0.060,0.030,0.090,,0.16,0.20
10/01/2017 18:00,,,0.039,0.016,0.055,,0.15,0.19
10/01/2017 19:00,,,0.018,0.008,0.026,,0.13,0.17
10/01/2017 20:00,,,0.008,0.007,0.015,,0.16,0.16
10/01/2017 21:00,,,0.014,0.008,0.021,,0.18,0.16
10/01/2017 22:00,,,0.047,0.019,0.066,,0.15,0.16
10/01/2017 23:00,,,0.055,0.011,0.066,,0.15,0.16
11/01/2017 00:00,,,0.000,0.003,0.003,,0.07,0.14
11/01/2017 01:00,,,0.000,0.002,0.002,,0.05,0.13
11/01/2017 02:00,,,,,,,0.06,0.12
11/01/2017 03:00,,,0.001,0.001,0.002,,,0.11
11/01/2017 04:00,,,0.002,0.003,0.004,,0.08,0.10
11/01/2017 05:00,,,0.001,0.003,0.004,,0.08,0.09
11/01/2017 06:00,,,0.012,0.008,0.020,,0.10,0.08
11/01/2017 07:00,,,0.056,0.016,0.072,,0.25,0.09
11/01/2017 08:00,,,0.063,0.019,0.081,,0.22,0.11
11/01/2017 09:00,,,0.050,0.016,0.066,,0.30,0.15
11/01/2017 10:00,,,0.074,0.016,0.090,,0.13,0.16
11/01/2017 11:00,,,0.032,0.015,0.046,,0.12,0.16
11/01/2017 12:00,,,0.051,0.016,0.066,,0.17,0.17
11/01/2017 13:00,,,0.048,0.015,0.063,,0.13,0.18
11/01/2017 14:00,,,0.090,0.024,0.114,,0.15,0.18
11/01/2017 15:00,,,0.052,0.026,0.077,,0.15,0.17
11/01/2017 16:00,,,0.055,0.026,0.081,,0.18,0.16
11/01/2017 17:00,,,0.088,0.040,0.129,,0.22,0.15
11/01/2017 18:00,,,0.071,0.024,0.096,,0.18,0.16
11/01/2017 19:00,,,0.043,0.011,0.054,,0.16,0.17
11/01/2017 20:00,,,0.012,0.011,0.024,,0.12,0.16
11/01/2017 21:00,,,0.022,0.009,0.031,,0.17,0.16
11/01/2017 22:00,,,0.021,0.009,0.029,,0.14,0.16
11/01/2017 23:00,,,0.002,0.004,0.006,,0.08,0.16
12/01/2017 00:00,,,0.001,0.004,0.005,,0.06,0.14
12/01/2017 01:00,,,0.000,0.005,0.005,,0.06,0.12
12/01/2017 02:00,,,0.000,0.001,0.001,,0.04,0.10
12/01/2017 03:00,,,0.000,0.002,0.002,,0.04,0.09
12/01/2017 04:00,,,0.002,0.004,0.006,,0.04,0.08
12/01/2017 05:00,,,0.001,0.005,0.006,,0.06,0.06
12/01/2017 06:00,,,0.002,0.008,0.011,,0.08,0.06
12/01/2017 07:00,,,0.029,0.017,0.046,,0.16,0.07
12/01/2017 08:00,,,0.066,0.025,0.090,,0.26,0.09
12/01/2017 09:00,,,0.074,0.029,0.103,,0.36,0.13
12/01/2017 10:00,,,0.022,0.012,0.034,,0.18,0.15
12/01/2017 11:00,,,0.014,0.010,0.024,,0.12,0.16
12/01/2017 12:00,,,0.014,0.014,0.028,,0.18,0.17
12/01/2017 13:00,,,0.017,0.017,0.034,,0.15,0.19
12/01/2017 14:00,,,0.012,0.014,0.026,,0.12,0.19
12/01/2017 15:00,,,0.025,0.022,0.047,,0.13,0.19
12/01/2017 16:00,,,0.072,0.066,0.138,,0.31,0.19
12/01/2017 17:00,,,0.087,0.060,0.147,,0.31,0.19
12/01/2017 18:00,,,0.021,0.029,0.050,,0.19,0.19
12/01/2017 19:00,,,0.008,0.028,0.036,,0.16,0.19
12/01/2017 20:00,,,0.008,0.029,0.038,,0.17,0.19
12/01/2017 21:00,,,0.013,0.025,0.038,,0.26,0.21
12/01/2017 22:00,,,0.011,0.013,0.024,,0.13,0.21
12/01/2017 23:00,,,0.007,0.007,0.014,,0.17,0.21
13/01/2017 00:00,,,0.000,0.003,0.003,,0.17,0.20
13/01/2017 01:00,,,0.000,0.004,0.004,,0.16,0.18
13/01/2017 02:00,,,,,,,0.11,0.17
13/01/2017 03:00,,,0.000,0.002,0.002,,,0.16
13/01/2017 04:00,,,0.003,0.011,0.013,,0.16,0.16
13/01/2017 05:00,,,0.000,0.003,0.003,,0.15,0.15
13/01/2017 06:00,,,0.006,0.012,0.018,,0.25,0.16
13/01/2017 07:00,,,0.027,0.024,0.051,,0.34,0.19
13/01/2017 08:00,,,0.022,0.024,0.046,,0.39,0.22
13/01/2017 09:00,,,0.037,0.031,0.069,,0.45,0.26
13/01/2017 10:00,,,0.066,0.025,0.091,,0.45,0.30
13/01/2017 11:00,,,0.027,0.012,0.038,,0.25,0.31
13/01/2017 12:00,,,0.029,0.010,0.039,,0.29,0.32
13/01/2017 13:00,,,0.033,0.014,0.046,,0.24,0.33
13/01/2017 14:00,,,0.059,0.019,0.079,,0.19,0.33
13/01/2017 15:00,,,0.047,0.019,0.065,,0.16,0.30
13/01/2017 16:00,,,0.047,0.026,0.073,,0.15,0.27
13/01/2017 17:00,,,0.065,0.023,0.088,,0.17,0.24
13/01/2017 18:00,,,0.041,0.014,0.055,,0.15,0.20
13/01/2017 19:00,,,0.021,0.008,0.029,,0.13,0.18
13/01/2017 20:00,,,0.014,0.006,0.019,,0.14,0.17
13/01/2017 21:00,,,0.018,0.006,0.023,,0.11,0.15
13/01/2017 22:00,,,0.006,0.004,0.011,,0.09,0.14
13/01/2017 23:00,,,0.004,0.003,0.008,,0.07,0.13
14/01/2017 00:00,,,0.000,0.002,0.002,,0.05,0.11
14/01/2017 01:00,,,0.000,0.001,0.001,,0.03,0.10
14/01/2017 02:00,,,0.000,0.001,0.001,,0.03,0.08
14/01/2017 03:00,,,0.000,0.000,0.000,,0.02,0.07
14/01/2017 04:00,,,0.000,0.000,0.000,,0.02,0.05
14/01/2017 05:00,,,0.000,0.001,0.001,,0.02,0.04
14/01/2017 06:00,,,0.000,0.002,0.002,,0.02,0.03
14/01/2017 07:00,,,0.010,0.006,0.016,,0.03,0.03
14/01/2017 08:00,,,0.013,0.006,0.019,,0.06,0.03
14/01/2017 09:00,,,0.009,0.006,0.015,,0.07,0.03
14/01/2017 10:00,,,0.011,0.006,0.016,,0.05,0.04
14/01/2017 11:00,,,0.013,0.007,0.019,,0.07,0.04
14/01/2017 12:00,,,0.006,0.005,0.011,,0.08,0.05
14/01/2017 13:00,,,0.017,0.007,0.024,,0.06,0.06
14/01/2017 14:00,,,0.012,0.007,0.019,,0.07,0.06
14/01/2017 15:00,,,0.009,0.005,0.014,,0.08,0.07
14/01/2017 16:00,,,0.007,0.005,0.012,,0.04,0.07
14/01/2017 17:00,,,0.016,0.008,0.024,,0.06,0.06
14/01/2017 18:00,,,0.013,0.007,0.019,,0.07,0.07
14/01/2017 19:00,,,0.018,0.010,0.028,,0.08,0.07
14/01/2017 20:00,,,0.004,0.004,0.008,,0.07,0.07
14/01/2017 21:00,,,0.004,0.005,0.008,,0.09,0.07
14/01/2017 22:00,,,0.003,0.004,0.007,,0.07,0.07
14/01/2017 23:00,,,0.001,0.002,0.003,,0.04,0.07
15/01/2017 00:00,,,0.000,0.001,0.001,,0.04,0.07
15/01/2017 01:00,,,0.001,0.001,0.002,,0.03,0.06
15/01/2017 02:00,,,,,,,0.04,0.06
15/01/2017 03:00,,,0.002,0.003,0.004,,,0.05
15/01/2017 04:00,,,0.002,0.002,0.004,,0.06,0.05
15/01/2017 05:00,,,0.001,0.004,0.005,,0.07,0.05
15/01/2017 06:00,,,0.003,0.005,0.008,,0.07,0.05
15/01/2017 07:00,,,0.001,0.002,0.004,,0.06,0.05
15/01/2017 08:00,,,0.003,0.003,0.006,,0.04,0.05
