Date/Time,O3 UVA ppm,O3 4hr UVA ppm,NO Chemiluminescence ppm,NO2 calc Chemiluminescence ppm,NOx Chemiluminescence ppm,SO2 UVF ppm,CO GPC ppm,CO 8hr GPC ppm
1/10/2015 1:00,,,0,0.013,0.013,,0.19,0.28
1/10/2015 2:00,,,,,,,0.29,0.28
1/10/2015 3:00,,,0,0.019,0.02,,,0.25
1/10/2015 4:00,,,0.002,0.016,0.017,,0.23,0.22
1/10/2015 5:00,,,0.001,0.017,0.018,,0.22,0.2
1/10/2015 6:00,,,0.005,0.014,0.019,,0.18,0.2
1/10/2015 7:00,,,0.018,0.02,0.038,,0.25,0.21
1/10/2015 8:00,,,0.078,0.031,0.108,,0.55,0.27
1/10/2015 9:00,,,0.083,0.032,0.115,,0.46,0.31
1/10/2015 10:00,,,0.071,0.035,0.106,,0.34,0.32
1/10/2015 11:00,,,0.044,0.025,0.069,,0.28,0.31
1/10/2015 12:00,,,0.038,0.02,0.058,,0.2,0.31
1/10/2015 13:00,,,0.024,0.018,0.043,,0.2,0.31
1/10/2015 14:00,,,0.061,0.027,0.088,,0.23,0.31
1/10/2015 15:00,,,0.072,0.029,0.101,,0.19,0.31
1/10/2015 16:00,,,0.07,0.039,0.109,,0.15,0.26
1/10/2015 17:00,,,0.096,0.049,0.145,,0.21,0.23
1/10/2015 18:00,,,0.072,0.04,0.112,,0.29,0.22
1/10/2015 19:00,,,0.058,0.032,0.09,,0.37,0.23
1/10/2015 20:00,,,0.019,0.028,0.047,,0.4,0.26
1/10/2015 21:00,,,0.029,0.029,0.058,,0.55,0.3
1/10/2015 22:00,,,0.027,0.029,0.056,,0.49,0.33
1/10/2015 23:00,,,0.028,0.029,0.057,,0.53,0.37
2/10/2015 0:00,,,0.015,0.028,0.042,,0.41,0.41
2/10/2015 1:00,,,0.002,0.018,0.019,,0.24,0.41
2/10/2015 2:00,,,0.001,0.018,0.018,,0.22,0.4
2/10/2015 3:00,,,0,0.017,0.017,,0.21,0.38
2/10/2015 4:00,,,0,0.011,0.011,,0.17,0.35
2/10/2015 5:00,,,0,0.011,0.011,,0.12,0.3
2/10/2015 6:00,,,0,0.012,0.013,,0.11,0.25
2/10/2015 7:00,,,0.006,0.02,0.025,,0.14,0.2
2/10/2015 8:00,,,0.037,0.026,0.063,,0.32,0.19
2/10/2015 9:00,,,0.082,0.035,0.117,,0.58,0.24
2/10/2015 10:00,,,0.047,0.034,0.081,,0.24,0.24
2/10/2015 11:00,,,0.03,0.025,0.054,,0.19,0.24
2/10/2015 12:00,,,0.02,0.023,0.043,,0.19,0.24
2/10/2015 13:00,,,0.018,0.02,0.038,,0.17,0.24
2/10/2015 14:00,,,0.049,0.03,0.08,,0.18,0.25
2/10/2015 15:00,,,0.066,0.048,0.114,,0.24,0.26
2/10/2015 16:00,,,0.087,0.044,0.132,,0.25,0.26
2/10/2015 17:00,,,0.101,0.049,0.15,,0.38,0.23
2/10/2015 18:00,,,0.101,0.046,0.147,,0.69,0.29
2/10/2015 19:00,,,0.114,0.051,0.165,,1.3,0.43
2/10/2015 20:00,,,0.009,0.033,0.042,,0.42,0.45
2/10/2015 21:00,,,0.005,0.03,0.035,,0.36,0.48
2/10/2015 22:00,,,0.002,0.025,0.027,,0.33,0.5
2/10/2015 23:00,,,0.001,0.02,0.02,,0.21,0.49
3/10/2015 0:00,,,0,0.018,0.018,,0.2,0.49
3/10/2015 1:00,,,0,0.012,0.012,,0.16,0.46
3/10/2015 2:00,,,,,,,0.1,0.39
3/10/2015 3:00,,,-0.001,0.006,0.005,,,0.25
3/10/2015 4:00,,,-0.001,0.004,0.003,,0.08,0.2
3/10/2015 5:00,,,-0.001,0.005,0.004,,0.06,0.16
3/10/2015 6:00,,,-0.001,0.006,0.005,,0.06,0.12
3/10/2015 7:00,,,-0.001,0.008,0.007,,0.08,0.1
3/10/2015 8:00,,,0.001,0.01,0.011,,0.1,0.09
3/10/2015 9:00,,,0.008,0.014,0.022,,0.11,0.08
3/10/2015 10:00,,,0.005,0.011,0.016,,0.08,0.08
3/10/2015 11:00,,,0.005,0.011,0.016,,0.07,0.08
3/10/2015 12:00,,,0.008,0.013,0.022,,0.08,0.08
3/10/2015 13:00,,,0.011,0.017,0.028,,0.1,0.09
3/10/2015 14:00,,,0.01,0.016,0.025,,0.1,0.09
3/10/2015 15:00,,,0.015,0.019,0.034,,0.08,0.09
3/10/2015 16:00,,,0.008,0.013,0.021,,0.07,0.09
3/10/2015 17:00,,,0.009,0.014,0.023,,0.07,0.08
3/10/2015 18:00,,,0.01,0.021,0.031,,0.14,0.09
3/10/2015 19:00,,,0.007,0.022,0.029,,0.19,0.1
3/10/2015 20:00,,,0.001,0.021,0.023,,0.19,0.12
3/10/2015 21:00,,,0.002,0.029,0.031,,0.32,0.14
3/10/2015 22:00,,,0.027,0.03,0.057,,0.32,0.17
3/10/2015 23:00,,,0.015,0.031,0.046,,0.39,0.21
4/10/2015 0:00,,,0,0.016,0.015,,0.16,0.22
4/10/2015 1:00,,,0.001,0.011,0.011,,0.15,0.23
4/10/2015 2:00,,,0,0.015,0.015,,0.14,0.23
4/10/2015 3:00,,,-0.001,0.009,0.009,,0.11,0.22
4/10/2015 4:00,,,-0.001,0.006,0.005,,0.08,0.21
4/10/2015 5:00,,,-0.001,0.004,0.003,,0.07,0.18
4/10/2015 6:00,,,-0.001,0.004,0.003,,0.06,0.14
4/10/2015 7:00,,,-0.001,0.005,0.004,,0.07,0.1
4/10/2015 8:00,,,0.018,0.023,0.041,,0.24,0.11
4/10/2015 9:00,,,0.012,0.017,0.029,,0.22,0.12
4/10/2015 10:00,,,0.006,0.012,0.018,,0.15,0.12
4/10/2015 11:00,,,0.009,0.013,0.022,,0.31,0.15
4/10/2015 12:00,,,0.009,0.016,0.025,,0.16,0.16
4/10/2015 13:00,,,0.01,0.015,0.025,,0.15,0.17
4/10/2015 14:00,,,0.038,0.026,0.064,,0.16,0.18
4/10/2015 15:00,,,0.036,0.025,0.061,,0.21,0.2
4/10/2015 16:00,,,0.05,0.027,0.077,,0.22,0.2
4/10/2015 17:00,,,0.089,0.019,0.108,,0.25,0.2
4/10/2015 18:00,,,0.007,0.019,0.025,,0.26,0.22
4/10/2015 19:00,,,0.001,0.025,0.026,,0.33,0.22
4/10/2015 20:00,,,0,0.023,0.023,,0.31,0.24
4/10/2015 21:00,,,0,0.02,0.02,,0.26,0.25
4/10/2015 22:00,,,0,0.024,0.024,,0.31,0.27
4/10/2015 23:00,,,-0.001,0.015,0.014,,0.21,0.27
5/10/2015 0:00,,,-0.001,0.011,0.01,,0.18,0.26
5/10/2015 1:00,,,-0.001,0.008,0.007,,0.16,0.25
5/10/2015 2:00,,,,,,,0.12,0.23
5/10/2015 3:00,,,-0.001,0.004,0.003,,,0.21
5/10/2015 4:00,,,-0.001,0.004,0.003,,0.09,0.18
5/10/2015 5:00,,,-0.001,0.004,0.003,,0.08,0.16
5/10/2015 6:00,,,-0.001,0.004,0.003,,0.08,0.13
5/10/2015 7:00,,,-0.001,0.006,0.005,,0.1,0.11
5/10/2015 8:00,,,0,0.007,0.007,,0.1,0.1
5/10/2015 9:00,,,0.012,0.011,0.023,,0.1,0.09
5/10/2015 10:00,,,0.005,0.01,0.015,,0.1,0.09
5/10/2015 11:00,,,0.01,0.012,0.022,,0.12,0.1
5/10/2015 12:00,,,0.016,0.016,0.032,,0.15,0.1
5/10/2015 13:00,,,0.021,0.025,0.046,,0.12,0.11
5/10/2015 14:00,,,0.017,0.018,0.036,,0.11,0.11
5/10/2015 15:00,,,0.019,0.024,0.043,,0.13,0.12
5/10/2015 16:00,,,0.014,0.017,0.031,,0.13,0.12
5/10/2015 17:00,,,0.029,0.039,0.068,,0.13,0.12
5/10/2015 18:00,,,0.024,0.016,0.04,,0.11,0.12
5/10/2015 19:00,,,0.001,0.012,0.013,,0.09,0.12
5/10/2015 20:00,,,-0.001,0.011,0.01,,0.1,0.12
5/10/2015 21:00,,,-0.001,0.008,0.007,,0.08,0.11
5/10/2015 22:00,,,-0.001,0.005,0.004,,0.05,0.1
5/10/2015 23:00,,,-0.001,0.006,0.005,,0.06,0.09
6/10/2015 0:00,,,-0.001,0.003,0.002,,0.05,0.09
6/10/2015 1:00,,,-0.001,0.003,0.002,,0.07,0.08
6/10/2015 2:00,,,-0.001,0.003,0.002,,0.07,0.07
6/10/2015 3:00,,,-0.001,0.002,0.001,,0.08,0.07
6/10/2015 4:00,,,-0.001,0.003,0.002,,0.08,0.07
6/10/2015 5:00,,,-0.001,0.005,0.005,,0.12,0.07
6/10/2015 6:00,,,0.019,0.023,0.043,,0.18,0.09
6/10/2015 7:00,,,0.035,0.031,0.065,,0.24,0.11
6/10/2015 8:00,,,0.063,0.033,0.095,,0.31,0.14
6/10/2015 9:00,,,0.08,0.033,0.113,,0.32,0.18
6/10/2015 10:00,,,0.039,0.023,0.062,,0.33,0.21
6/10/2015 11:00,,,0.014,0.013,0.027,,0.19,0.22
6/10/2015 12:00,,,0.013,0.01,0.023,,0.18,0.23
6/10/2015 13:00,,,0.028,0.014,0.041,,0.15,0.24
6/10/2015 14:00,,,0.042,0.015,0.057,,0.13,0.23
6/10/2015 15:00,,,0.029,0.018,0.047,,0.12,0.22
6/10/2015 16:00,,,0.034,0.018,0.052,,0.13,0.19
6/10/2015 17:00,,,0.043,0.02,0.063,,0.13,0.17
6/10/2015 18:00,,,0.023,0.015,0.038,,0.1,0.14
6/10/2015 19:00,,,0.03,0.016,0.045,,0.11,0.13
6/10/2015 20:00,,,0.002,0.005,0.007,,0.08,0.12
6/10/2015 21:00,,,0.006,0.007,0.013,,0.09,0.11
6/10/2015 22:00,,,0.024,0.009,0.033,,0.08,0.11
6/10/2015 23:00,,,0.003,0.005,0.007,,0.06,0.1
7/10/2015 0:00,,,-0.001,0.002,0.002,,0.05,0.09
7/10/2015 1:00,,,0,0.002,0.002,,0.07,0.08
7/10/2015 2:00,,,,,,,0.07,0.07
7/10/2015 3:00,,,-0.001,0.002,0.001,,,0.07
7/10/2015 4:00,,,0,0.003,0.003,,0.07,0.07
7/10/2015 5:00,,,0.001,0.004,0.005,,0.07,0.06
7/10/2015 6:00,,,0.005,0.01,0.014,,0.11,0.07
7/10/2015 7:00,,,0.012,0.013,0.024,,0.13,0.08
7/10/2015 8:00,,,0.009,0.011,0.02,,0.11,0.09
7/10/2015 9:00,,,0.015,0.013,0.029,,0.12,0.09
7/10/2015 10:00,,,0.007,0.009,0.016,,0.09,0.1
7/10/2015 11:00,,,0.005,0.007,0.011,,0.07,0.1
7/10/2015 12:00,,,0.008,0.008,0.016,,0.12,0.1
7/10/2015 13:00,,,0.01,0.009,0.02,,0.1,0.11
7/10/2015 14:00,,,0.01,0.011,0.02,,0.11,0.11
7/10/2015 15:00,,,0.009,0.011,0.02,,0.08,0.1
7/10/2015 16:00,,,0.009,0.011,0.02,,0.1,0.1
7/10/2015 17:00,,,0.014,0.014,0.028,,0.14,0.1
7/10/2015 18:00,,,0.01,0.011,0.021,,0.16,0.11
7/10/2015 19:00,,,0.006,0.009,0.015,,0.18,0.12
7/10/2015 20:00,,,0.004,0.008,0.011,,0.13,0.13
7/10/2015 21:00,,,0.018,0.013,0.03,,0.19,0.14
7/10/2015 22:00,,,0.003,0.009,0.012,,0.15,0.14
7/10/2015 23:00,,,0.005,0.008,0.013,,0.11,0.15
8/10/2015 0:00,,,-0.001,0.002,0.002,,0.06,0.14
8/10/2015 1:00,,,-0.001,0.002,0.001,,0.05,0.13
8/10/2015 2:00,,,-0.001,0.002,0.001,,0.05,0.11
8/10/2015 3:00,,,-0.001,0.002,0.001,,0.05,0.1
8/10/2015 4:00,,,-0.001,0.003,0.002,,0.05,0.09
8/10/2015 5:00,,,0,0.006,0.006,,0.05,0.07
8/10/2015 6:00,,,0.03,0.023,0.053,,0.19,0.08
8/10/2015 7:00,,,0.077,0.036,0.113,,0.5,0.12
8/10/2015 8:00,,,0.059,0.03,0.089,,0.43,0.17
8/10/2015 9:00,,,0.057,0.024,0.081,,0.31,0.2
8/10/2015 10:00,,,0.026,0.021,0.047,,0.36,0.24
8/10/2015 11:00,,,0.018,0.018,0.036,,0.24,0.27
8/10/2015 12:00,,,0.005,0.01,0.015,,0.17,0.28
8/10/2015 13:00,,,0.005,0.012,0.017,,0.17,0.3
8/10/2015 14:00,,,0.035,0.019,0.054,,0.29,0.31
8/10/2015 15:00,,,0.095,0.054,0.149,,0.28,0.28
8/10/2015 16:00,,,0.092,0.064,0.156,,0.38,0.28
8/10/2015 17:00,,,0.116,0.066,0.182,,0.46,0.29
8/10/2015 18:00,,,0.065,0.052,0.117,,0.51,0.31
8/10/2015 19:00,,,0.021,0.042,0.062,,0.58,0.35
8/10/2015 20:00,,,0.001,0.021,0.021,,0.27,0.37
8/10/2015 21:00,,,0,0.011,0.011,,0.18,0.37
8/10/2015 22:00,,,-0.001,0.007,0.007,,0.14,0.35
8/10/2015 23:00,,,-0.001,0.006,0.006,,0.12,0.33
