Date/Time,O3 UVA ppm,O3 4hr UVA ppm,NO Chemiluminescence ppm,NO2 calc Chemiluminescence ppm,NOx Chemiluminescence ppm,SO2 UVF ppm,CO GPC ppm,CO 8hr GPC ppm
1/07/2015 1:00,,,0.005,0.019,0.023,,0.36,0.73
1/07/2015 2:00,,,,,,,0.21,0.69
1/07/2015 3:00,,,0.001,0.006,0.007,,,0.67
1/07/2015 4:00,,,0.001,0.009,0.009,,0.16,0.62
1/07/2015 5:00,,,0.001,0.01,0.011,,0.15,0.54
1/07/2015 6:00,,,0.006,0.015,0.021,,0.18,0.43
1/07/2015 7:00,,,0.017,0.018,0.035,,0.31,0.31
1/07/2015 8:00,,,0.05,0.021,0.071,,0.48,0.26
1/07/2015 9:00,,,0.061,0.023,0.084,,0.52,0.28
1/07/2015 10:00,,,0.05,0.022,0.072,,0.55,0.33
1/07/2015 11:00,,,0.033,0.022,0.054,,0.39,0.34
1/07/2015 12:00,,,0.034,0.019,0.053,,0.32,0.36
1/07/2015 13:00,,,0.045,0.023,0.067,,0.27,0.38
1/07/2015 14:00,,,0.033,0.017,0.05,,0.31,0.39
1/07/2015 15:00,,,0.041,0.022,0.063,,0.25,0.39
1/07/2015 16:00,,,0.066,0.027,0.093,,0.35,0.37
1/07/2015 17:00,,,0.08,0.029,0.11,,0.54,0.37
1/07/2015 18:00,,,0.088,0.036,0.124,,0.55,0.37
1/07/2015 19:00,,,0.051,0.031,0.082,,0.61,0.4
1/07/2015 20:00,,,0.032,0.027,0.059,,0.74,0.45
1/07/2015 21:00,,,0.043,0.028,0.071,,0.9,0.53
1/07/2015 22:00,,,0.042,0.026,0.068,,0.9,0.6
1/07/2015 23:00,,,0.025,0.024,0.05,,0.75,0.67
2/07/2015 0:00,,,0.01,0.021,0.031,,0.59,0.7
2/07/2015 1:00,,,0.002,0.012,0.014,,0.25,0.66
2/07/2015 2:00,,,0.001,0.005,0.006,,0.14,0.61
2/07/2015 3:00,,,0.001,0.004,0.005,,0.14,0.55
2/07/2015 4:00,,,0,0.004,0.004,,0.13,0.47
2/07/2015 5:00,,,0.001,0.005,0.005,,0.14,0.38
2/07/2015 6:00,,,0.001,0.005,0.006,,0.14,0.28
2/07/2015 7:00,,,0.002,0.008,0.01,,0.19,0.21
2/07/2015 8:00,,,0.013,0.016,0.028,,0.28,0.18
2/07/2015 9:00,,,0.031,0.02,0.051,,0.44,0.2
2/07/2015 10:00,,,0.042,0.021,0.063,,0.47,0.24
2/07/2015 11:00,,,0.059,0.026,0.085,,0.6,0.3
2/07/2015 12:00,,,0.056,0.022,0.078,,0.45,0.34
2/07/2015 13:00,,,0.047,0.02,0.067,,0.35,0.37
2/07/2015 14:00,,,0.06,0.022,0.082,,0.25,0.38
2/07/2015 15:00,,,0.038,0.019,0.056,,0.27,0.39
2/07/2015 16:00,,,0.087,0.033,0.12,,0.41,0.41
2/07/2015 17:00,,,0.044,0.025,0.069,,0.55,0.42
2/07/2015 18:00,,,0.031,0.025,0.056,,0.58,0.43
2/07/2015 19:00,,,0.017,0.021,0.038,,0.46,0.41
