Date/Time,O3 UVA ppm,O3 4hr UVA ppm,NO Chemiluminescence ppm,NO2 calc Chemiluminescence ppm,NOx Chemiluminescence ppm,SO2 UVF ppm,CO GPC ppm,CO 8hr GPC ppm
1/10/2016 1:00,,,0,0.002,0.002,,0.07,0.28
1/10/2016 2:00,,,,,,,0.07,0.24
1/10/2016 3:00,,,0,0.002,0.002,,,0.22
1/10/2016 4:00,,,0,0.002,0.002,,0.09,0.19
1/10/2016 5:00,,,0.001,0.003,0.004,,0.09,0.16
1/10/2016 6:00,,,0,0.003,0.004,,0.12,0.14
1/10/2016 7:00,,,0.006,0.009,0.015,,0.15,0.12
1/10/2016 8:00,,,0.02,0.017,0.037,,0.15,0.1
1/10/2016 9:00,,,0.009,0.012,0.02,,0.16,0.12
1/10/2016 10:00,,,0.012,0.012,0.025,,0.18,0.13
1/10/2016 11:00,,,0.01,0.008,0.018,,0.2,0.14
1/10/2016 12:00,,,0.009,0.008,0.017,,0.25,0.16
1/10/2016 13:00,,,0.011,0.009,0.02,,0.29,0.19
1/10/2016 14:00,,,0.008,0.008,0.016,,0.26,0.21
1/10/2016 15:00,,,0.038,0.012,0.05,,0.28,0.22
1/10/2016 16:00,,,0.008,0.009,0.016,,0.27,0.24
1/10/2016 17:00,,,0.001,0.004,0.005,,0.22,0.24
1/10/2016 18:00,,,0.001,0.005,0.006,,0.25,0.25
1/10/2016 19:00,,,0,0.008,0.008,,0.29,0.26
1/10/2016 20:00,,,0,0.007,0.007,,0.3,0.27
1/10/2016 21:00,,,0,0.005,0.005,,0.27,0.27
1/10/2016 22:00,,,0,0.004,0.004,,0.25,0.26
1/10/2016 23:00,,,0,0.002,0.002,,0.24,0.26
2/10/2016 0:00,,,0,0.002,0.002,,0.23,0.26
2/10/2016 1:00,,,-0.001,0.002,0.001,,0.03,0.23
2/10/2016 2:00,,,-0.001,0.002,0.001,,0.04,0.2
2/10/2016 3:00,,,0,0.004,0.004,,0.06,0.18
2/10/2016 4:00,,,-0.001,0.003,0.002,,0.06,0.14
2/10/2016 5:00,,,-0.001,0.002,0.001,,0.06,0.12
2/10/2016 6:00,,,-0.001,0.003,0.002,,0.08,0.1
2/10/2016 7:00,,,0,0.005,0.005,,0.11,0.08
2/10/2016 8:00,,,0.001,0.005,0.006,,0.11,0.07
2/10/2016 9:00,,,0.01,0.009,0.018,,0.14,0.08
2/10/2016 10:00,,,0.017,0.009,0.027,,0.2,0.1
2/10/2016 11:00,,,0.017,0.009,0.026,,0.24,0.13
2/10/2016 12:00,,,0.004,0.004,0.008,,0.2,0.14
2/10/2016 13:00,,,0.005,0.004,0.009,,0.21,0.16
2/10/2016 14:00,,,0.009,0.007,0.016,,0.22,0.18
2/10/2016 15:00,,,0.006,0.007,0.013,,0.23,0.19
2/10/2016 16:00,,,0.01,0.009,0.019,,0.26,0.21
2/10/2016 17:00,,,0.015,0.014,0.029,,0.34,0.24
2/10/2016 18:00,,,0.017,0.013,0.029,,0.32,0.25
2/10/2016 19:00,,,0.013,0.008,0.021,,0.27,0.26
2/10/2016 20:00,,,0.007,0.007,0.014,,0.27,0.26
2/10/2016 21:00,,,0.005,0.006,0.011,,0.24,0.27
2/10/2016 22:00,,,0.005,0.006,0.011,,0.26,0.27
2/10/2016 23:00,,,0.002,0.003,0.005,,0.26,0.28
3/10/2016 0:00,,,0,0.002,0.002,,0.24,0.28
3/10/2016 1:00,,,0,0.002,0.002,,0.05,0.24
3/10/2016 2:00,,,,,,,0.06,0.21
3/10/2016 3:00,,,0,0.001,0.001,,,0.19
3/10/2016 4:00,,,0,0.001,0.001,,0.09,0.16
3/10/2016 5:00,,,0,0.001,0.001,,0.08,0.14
3/10/2016 6:00,,,0,0.001,0.001,,0.09,0.12
