"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/04/2018 01:00,,,0.009,0.020,0.028,,0.11,0.14
1/04/2018 02:00,,,0.010,0.019,0.029,,0.19,0.15
1/04/2018 03:00,,,0.010,0.017,0.028,,0.16,0.15
1/04/2018 04:00,,,0.006,0.016,0.022,,0.12,0.15
1/04/2018 05:00,,,0.005,0.013,0.018,,0.10,0.14
1/04/2018 06:00,,,0.009,0.016,0.024,,0.19,0.14
1/04/2018 07:00,,,0.002,0.012,0.014,,0.10,0.14
1/04/2018 08:00,,,0.002,0.010,0.012,,0.07,0.13
1/04/2018 09:00,,,0.009,0.013,0.022,,0.13,0.13
1/04/2018 10:00,,,0.010,0.013,0.023,,0.17,0.13
1/04/2018 11:00,,,0.011,0.013,0.024,,0.13,0.13
1/04/2018 12:00,,,0.023,0.015,0.038,,0.08,0.12
1/04/2018 13:00,,,0.017,0.012,0.030,,0.04,0.11
1/04/2018 14:00,,,0.008,0.012,0.020,,0.06,0.10
1/04/2018 15:00,,,0.030,0.021,0.051,,0.07,0.09
1/04/2018 16:00,,,0.012,0.015,0.027,,0.06,0.09
1/04/2018 17:00,,,0.032,0.020,0.052,,0.06,0.08
1/04/2018 18:00,,,0.009,0.011,0.020,,0.09,0.07
1/04/2018 19:00,,,0.044,0.017,0.061,,0.09,0.07
1/04/2018 20:00,,,0.060,0.018,0.078,,0.12,0.07
1/04/2018 21:00,,,0.021,0.014,0.036,,0.13,0.08
1/04/2018 22:00,,,0.063,0.025,0.088,,0.17,0.10
1/04/2018 23:00,,,0.002,0.008,0.010,,0.09,0.10
2/04/2018 00:00,,,0.003,0.007,0.010,,0.08,0.10
2/04/2018 01:00,,,0.000,0.004,0.004,,0.06,0.10
2/04/2018 02:00,,,,,,,0.09,0.11
2/04/2018 03:00,,,0.000,0.004,0.004,,,0.11
2/04/2018 04:00,,,0.000,0.003,0.003,,0.07,0.10
2/04/2018 05:00,,,0.001,0.004,0.005,,0.04,0.08
2/04/2018 06:00,,,0.001,0.003,0.004,,0.04,0.07
2/04/2018 07:00,,,0.001,0.004,0.005,,0.03,0.06
2/04/2018 08:00,,,0.002,0.005,0.007,,0.04,0.05
2/04/2018 09:00,,,0.007,0.008,0.016,,0.03,0.05
2/04/2018 10:00,,,0.007,0.007,0.014,,0.01,0.04
2/04/2018 11:00,,,0.018,0.009,0.027,,0.01,0.03
2/04/2018 12:00,,,0.038,0.011,0.049,,0.02,0.03
2/04/2018 13:00,,,0.004,0.006,0.010,,0.02,0.03
2/04/2018 14:00,,,0.005,0.007,0.012,,0.03,0.02
2/04/2018 15:00,,,0.025,0.012,0.037,,0.03,0.02
2/04/2018 16:00,,,0.003,0.005,0.008,,0.03,0.02
2/04/2018 17:00,,,0.005,0.006,0.011,,0.02,0.02
2/04/2018 18:00,,,0.009,0.009,0.017,,0.03,0.02
2/04/2018 19:00,,,0.008,0.009,0.016,,0.04,0.03
2/04/2018 20:00,,,0.004,0.007,0.011,,0.05,0.03
2/04/2018 21:00,,,0.003,0.007,0.009,,0.03,0.03
2/04/2018 22:00,,,0.011,0.010,0.021,,0.05,0.03
2/04/2018 23:00,,,0.004,0.010,0.014,,0.05,0.04
3/04/2018 00:00,,,0.001,0.008,0.009,,0.05,0.04
3/04/2018 01:00,,,0.000,0.007,0.007,,0.04,0.04
3/04/2018 02:00,,,0.000,0.004,0.004,,0.02,0.04
3/04/2018 03:00,,,0.000,0.003,0.003,,0.01,0.04
3/04/2018 04:00,,,0.000,0.003,0.003,,0.00,0.03
3/04/2018 05:00,,,0.001,0.005,0.006,,0.01,0.03
3/04/2018 06:00,,,0.001,0.006,0.007,,0.03,0.03
3/04/2018 07:00,,,0.041,0.022,0.062,,0.07,0.03
3/04/2018 08:00,,,0.031,0.018,0.049,,0.15,0.04
3/04/2018 09:00,,,0.023,0.016,0.039,,0.14,0.05
3/04/2018 10:00,,,0.031,0.018,0.048,,0.08,0.06
3/04/2018 11:00,,,0.059,0.012,0.071,,0.09,0.07
3/04/2018 12:00,,,0.010,0.010,0.019,,0.07,0.08
3/04/2018 13:00,,,0.020,0.013,0.033,,0.09,0.09
3/04/2018 14:00,,,0.059,0.020,0.078,,0.07,0.10
3/04/2018 15:00,,,0.042,0.019,0.061,,0.07,0.10
3/04/2018 16:00,,,0.034,0.019,0.052,,0.08,0.09
