"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/01/2018 01:00,,,0.002,0.007,0.009,,0.16,0.17
1/01/2018 02:00,,,0.000,0.007,0.007,,0.17,0.17
1/01/2018 03:00,,,0.008,0.008,0.015,,0.20,0.18
1/01/2018 04:00,,,0.001,0.005,0.006,,0.15,0.18
1/01/2018 05:00,,,0.001,0.005,0.005,,0.13,0.17
1/01/2018 06:00,,,0.000,0.003,0.003,,0.13,0.16
1/01/2018 07:00,,,0.000,0.003,0.004,,0.12,0.15
1/01/2018 08:00,,,0.003,0.005,0.008,,0.13,0.15
1/01/2018 09:00,,,0.011,0.008,0.019,,0.12,0.14
1/01/2018 10:00,,,0.010,0.005,0.016,,0.12,0.14
1/01/2018 11:00,,,0.010,0.006,0.015,,0.12,0.13
1/01/2018 12:00,,,0.018,0.010,0.028,,0.15,0.13
1/01/2018 13:00,,,0.006,0.005,0.011,,0.13,0.13
1/01/2018 14:00,,,0.019,0.015,0.034,,0.13,0.13
1/01/2018 15:00,,,0.025,0.011,0.035,,0.13,0.13
1/01/2018 16:00,,,0.007,0.010,0.017,,0.12,0.13
1/01/2018 17:00,,,0.020,0.012,0.032,,0.13,0.13
1/01/2018 18:00,,,0.011,0.008,0.019,,0.14,0.13
1/01/2018 19:00,,,0.010,0.005,0.015,,0.14,0.13
1/01/2018 20:00,,,0.010,0.007,0.017,,0.17,0.14
1/01/2018 21:00,,,0.086,0.012,0.098,,0.29,0.16
1/01/2018 22:00,,,0.001,0.004,0.005,,0.14,0.16
1/01/2018 23:00,,,0.001,0.004,0.005,,0.12,0.15
2/01/2018 00:00,,,0.001,0.004,0.004,,0.11,0.15
2/01/2018 01:00,,,0.000,0.003,0.003,,0.11,0.15
2/01/2018 02:00,,,,,,,0.12,0.15
2/01/2018 03:00,,,0.001,0.003,0.004,,,0.15
2/01/2018 04:00,,,0.001,0.004,0.005,,0.12,0.14
2/01/2018 05:00,,,0.000,0.003,0.003,,0.12,0.12
2/01/2018 06:00,,,0.028,0.016,0.044,,0.14,0.12
2/01/2018 07:00,,,0.104,0.032,0.135,,0.22,0.13
2/01/2018 08:00,,,0.086,0.027,0.112,,0.19,0.14
2/01/2018 09:00,,,0.118,0.029,0.147,,0.16,0.15
2/01/2018 10:00,,,0.029,0.011,0.041,,0.20,0.16
2/01/2018 11:00,,,0.026,0.012,0.038,,0.12,0.16
2/01/2018 12:00,,,0.034,0.015,0.048,,0.13,0.16
2/01/2018 13:00,,,0.030,0.014,0.044,,0.12,0.16
2/01/2018 14:00,,,0.043,0.024,0.067,,0.11,0.16
2/01/2018 15:00,,,0.064,0.027,0.092,,0.14,0.15
2/01/2018 16:00,,,0.065,0.026,0.091,,0.11,0.14
2/01/2018 17:00,,,0.036,0.017,0.053,,0.12,0.13
2/01/2018 18:00,,,0.035,0.015,0.050,,0.11,0.12
2/01/2018 19:00,,,0.006,0.009,0.015,,0.12,0.12
2/01/2018 20:00,,,0.005,0.005,0.010,,0.11,0.12
2/01/2018 21:00,,,0.013,0.006,0.019,,0.10,0.12
2/01/2018 22:00,,,0.002,0.005,0.007,,0.09,0.11
