"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/05/2017 01:00,,,0.000,0.011,0.011,,0.13,0.23
1/05/2017 02:00,,,,,,,0.09,0.21
1/05/2017 03:00,,,0.000,0.008,0.008,,,0.21
1/05/2017 04:00,,,0.000,0.008,0.008,,0.07,0.17
1/05/2017 05:00,,,0.000,0.008,0.008,,0.06,0.14
1/05/2017 06:00,,,0.001,0.010,0.010,,0.07,0.11
1/05/2017 07:00,,,0.009,0.015,0.024,,0.12,0.10
1/05/2017 08:00,,,0.017,0.018,0.035,,0.21,0.10
1/05/2017 09:00,,,0.031,0.019,0.050,,0.31,0.13
1/05/2017 10:00,,,0.047,0.020,0.067,,0.31,0.16
1/05/2017 11:00,,,0.034,0.019,0.053,,0.30,0.18
1/05/2017 12:00,,,0.023,0.017,0.040,,0.19,0.20
1/05/2017 13:00,,,0.102,0.026,0.128,,0.19,0.21
1/05/2017 14:00,,,0.084,0.024,0.108,,0.14,0.22
1/05/2017 15:00,,,0.040,0.019,0.059,,0.12,0.22
1/05/2017 16:00,,,0.112,0.029,0.141,,0.16,0.21
1/05/2017 17:00,,,0.128,0.041,0.170,,0.21,0.20
1/05/2017 18:00,,,0.097,0.037,0.134,,0.27,0.20
1/05/2017 19:00,,,0.074,0.031,0.105,,0.18,0.18
1/05/2017 20:00,,,0.039,0.023,0.062,,0.14,0.18
1/05/2017 21:00,,,0.015,0.014,0.028,,0.14,0.17
1/05/2017 22:00,,,0.038,0.017,0.055,,0.21,0.18
1/05/2017 23:00,,,0.019,0.013,0.032,,0.16,0.18
2/05/2017 00:00,,,0.003,0.011,0.013,,0.11,0.18
2/05/2017 01:00,,,0.001,0.004,0.005,,0.04,0.16
2/05/2017 02:00,,,0.000,0.003,0.003,,0.03,0.13
2/05/2017 03:00,,,0.000,0.003,0.003,,0.01,0.10
2/05/2017 04:00,,,-0.001,0.004,0.004,,0.01,0.09
2/05/2017 05:00,,,0.001,0.005,0.005,,0.00,0.07
2/05/2017 06:00,,,0.001,0.005,0.007,,0.04,0.05
2/05/2017 07:00,,,0.008,0.012,0.020,,0.06,0.04
2/05/2017 08:00,,,0.070,0.029,0.098,,0.22,0.05
2/05/2017 09:00,,,0.040,0.026,0.066,,0.21,0.07
2/05/2017 10:00,,,0.071,0.029,0.100,,0.13,0.09
2/05/2017 11:00,,,0.032,0.015,0.047,,0.10,0.10
2/05/2017 12:00,,,0.018,0.013,0.031,,0.08,0.11
2/05/2017 13:00,,,0.060,0.021,0.081,,0.08,0.11
2/05/2017 14:00,,,0.059,0.019,0.078,,0.09,0.12
2/05/2017 15:00,,,0.017,0.016,0.033,,0.08,0.12
2/05/2017 16:00,,,0.091,0.037,0.128,,0.11,0.11
2/05/2017 17:00,,,0.110,0.035,0.145,,0.14,0.10
2/05/2017 18:00,,,0.031,0.025,0.056,,0.24,0.12
2/05/2017 19:00,,,0.009,0.019,0.028,,0.21,0.13
2/05/2017 20:00,,,0.007,0.016,0.024,,0.15,0.14
2/05/2017 21:00,,,0.011,0.019,0.030,,0.21,0.16
2/05/2017 22:00,,,0.023,0.017,0.040,,0.25,0.17
2/05/2017 23:00,,,0.007,0.016,0.023,,0.15,0.18
3/05/2017 00:00,,,0.013,0.020,0.033,,0.24,0.20
