"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/03/2016 01:00,,,0.001,0.001,0.002,,0.01,0.08
1/03/2016 02:00,,,,,,,0.00,0.07
1/03/2016 03:00,,,0.002,0.010,0.013,,,0.05
1/03/2016 04:00,,,0.003,0.009,0.012,,0.24,0.07
1/03/2016 05:00,,,0.006,0.018,0.024,,0.23,0.09
1/03/2016 06:00,,,0.034,0.025,0.059,,0.22,0.11
1/03/2016 07:00,,,0.165,0.042,0.207,,0.87,0.22
1/03/2016 08:00,,,0.172,0.048,0.220,,1.04,0.36
1/03/2016 09:00,,,0.143,0.047,0.190,,0.65,0.44
1/03/2016 10:00,,,0.054,0.031,0.085,,0.30,0.49
1/03/2016 11:00,,,0.044,0.027,0.071,,0.15,0.46
1/03/2016 12:00,,,0.068,0.022,0.090,,0.15,0.45
1/03/2016 13:00,,,0.077,0.030,0.107,,0.08,0.43
1/03/2016 14:00,,,0.042,0.025,0.067,,0.09,0.42
1/03/2016 15:00,,,0.119,0.047,0.166,,0.11,0.32
1/03/2016 16:00,,,0.179,0.086,0.265,,0.28,0.23
1/03/2016 17:00,,,0.085,0.044,0.129,,0.35,0.19
1/03/2016 18:00,,,0.047,0.043,0.090,,0.44,0.21
1/03/2016 19:00,,,0.013,0.037,0.050,,0.28,0.22
1/03/2016 20:00,,,0.020,0.040,0.060,,0.40,0.25
1/03/2016 21:00,,,0.032,0.037,0.069,,0.45,0.30
1/03/2016 22:00,,,0.032,0.033,0.065,,0.51,0.35
1/03/2016 23:00,,,0.038,0.034,0.072,,0.56,0.41
2/03/2016 00:00,,,0.024,0.027,0.051,,0.43,0.43
2/03/2016 01:00,,,0.004,0.021,0.025,,0.17,0.41
2/03/2016 02:00,,,0.001,0.011,0.012,,0.08,0.36
2/03/2016 03:00,,,0.001,0.010,0.011,,0.07,0.34
2/03/2016 04:00,,,0.013,0.023,0.036,,0.18,0.31
2/03/2016 05:00,,,0.046,0.026,0.072,,0.22,0.28
2/03/2016 06:00,,,0.012,0.022,0.034,,0.17,0.24
2/03/2016 07:00,,,0.048,0.030,0.078,,0.42,0.22
2/03/2016 08:00,,,0.118,0.044,0.162,,0.86,0.27
2/03/2016 09:00,,,0.132,0.049,0.181,,0.58,0.32
2/03/2016 10:00,,,0.060,0.039,0.099,,0.33,0.35
2/03/2016 11:00,,,0.039,0.032,0.071,,0.25,0.38
2/03/2016 12:00,,,0.085,0.040,0.126,,0.21,0.38
2/03/2016 13:00,,,0.121,0.048,0.169,,0.27,0.39
2/03/2016 14:00,,,0.020,0.023,0.043,,0.14,0.38
2/03/2016 15:00,,,0.057,0.043,0.100,,0.26,0.36
2/03/2016 16:00,,,0.124,0.059,0.183,,0.21,0.28
2/03/2016 17:00,,,0.073,0.053,0.126,,0.26,0.24
2/03/2016 18:00,,,0.033,0.020,0.053,,0.18,0.22
2/03/2016 19:00,,,0.008,0.008,0.016,,0.16,0.21
2/03/2016 20:00,,,0.010,0.010,0.019,,0.20,0.21
2/03/2016 21:00,,,0.010,0.012,0.023,,0.14,0.19
2/03/2016 22:00,,,0.034,0.011,0.045,,0.14,0.19
2/03/2016 23:00,,,0.038,0.013,0.051,,0.14,0.18
3/03/2016 00:00,,,0.001,0.003,0.004,,0.08,0.16
3/03/2016 01:00,,,0.001,0.003,0.003,,0.05,0.14
3/03/2016 02:00,,,,,,,0.04,0.12
3/03/2016 03:00,,,0.001,0.005,0.006,,,0.11
3/03/2016 04:00,,,0.002,0.011,0.013,,0.07,0.09
3/03/2016 05:00,,,0.004,0.010,0.014,,0.10,0.09
3/03/2016 06:00,,,0.035,0.011,0.046,,0.18,0.09
3/03/2016 07:00,,,0.047,0.022,0.069,,0.28,0.11
3/03/2016 08:00,,,0.070,0.029,0.099,,0.49,0.17
3/03/2016 09:00,,,0.050,0.020,0.069,,0.28,0.20
3/03/2016 10:00,,,0.052,0.027,0.079,,0.34,0.24
3/03/2016 11:00,,,0.034,0.019,0.053,,0.28,0.25
3/03/2016 12:00,,,0.018,0.017,0.036,,0.19,0.27
3/03/2016 13:00,,,0.086,0.035,0.121,,0.20,0.28
3/03/2016 14:00,,,0.031,0.024,0.055,,0.20,0.28
3/03/2016 15:00,,,0.056,0.038,0.094,,0.21,0.27
3/03/2016 16:00,,,0.129,0.065,0.193,,0.21,0.24
3/03/2016 17:00,,,0.061,0.036,0.098,,0.30,0.24
3/03/2016 18:00,,,0.037,0.030,0.067,,0.26,0.23
3/03/2016 19:00,,,0.010,0.016,0.026,,0.22,0.22
3/03/2016 20:00,,,0.006,0.016,0.021,,0.18,0.22
3/03/2016 21:00,,,0.009,0.016,0.025,,0.18,0.22
3/03/2016 22:00,,,0.005,0.018,0.023,,0.25,0.23
3/03/2016 23:00,,,0.007,0.012,0.019,,0.15,0.22
4/03/2016 00:00,,,0.002,0.010,0.012,,0.11,0.21
4/03/2016 01:00,,,0.001,0.008,0.009,,0.10,0.18
4/03/2016 02:00,,,0.001,0.016,0.017,,0.14,0.17
4/03/2016 03:00,,,0.003,0.020,0.024,,0.17,0.16
4/03/2016 04:00,,,0.004,0.021,0.025,,0.16,0.16
4/03/2016 05:00,,,0.012,0.021,0.034,,0.19,0.16
4/03/2016 06:00,,,0.030,0.023,0.053,,0.28,0.17
4/03/2016 07:00,,,0.043,0.028,0.070,,0.38,0.19
4/03/2016 08:00,,,0.071,0.031,0.102,,0.58,0.25
4/03/2016 09:00,,,0.117,0.041,0.159,,0.83,0.34
4/03/2016 10:00,,,0.076,0.037,0.113,,0.37,0.37
4/03/2016 11:00,,,0.067,0.034,0.101,,0.26,0.38
4/03/2016 12:00,,,0.150,0.041,0.191,,0.22,0.39
4/03/2016 13:00,,,0.105,0.041,0.146,,0.25,0.40
4/03/2016 14:00,,,0.058,0.032,0.090,,0.20,0.39
