Date/Time,O3 UVA ppm,O3 4hr UVA ppm,NO Chemiluminescence ppm,NO2 calc Chemiluminescence ppm,NOx Chemiluminescence ppm,SO2 UVF ppm,CO GPC ppm,CO 8hr GPC ppm
1/09/2015 1:00,,,0,0.007,0.007,,0.14,0.3
1/09/2015 2:00,,,,,,,0.09,0.25
1/09/2015 3:00,,,0.001,0.003,0.004,,,0.23
1/09/2015 4:00,,,0,0.003,0.003,,0.08,0.19
1/09/2015 5:00,,,0.001,0.003,0.003,,0.08,0.15
1/09/2015 6:00,,,0.001,0.004,0.005,,0.08,0.12
1/09/2015 7:00,,,0.002,0.013,0.014,,0.12,0.11
1/09/2015 8:00,,,0.014,0.023,0.037,,0.3,0.12
1/09/2015 9:00,,,0.027,0.024,0.051,,0.4,0.16
1/09/2015 10:00,,,0.02,0.02,0.039,,0.25,0.18
1/09/2015 11:00,,,0.016,0.017,0.032,,0.24,0.2
1/09/2015 12:00,,,0.013,0.013,0.026,,0.17,0.21
1/09/2015 13:00,,,0.015,0.013,0.028,,0.16,0.22
1/09/2015 14:00,,,0.051,0.021,0.073,,0.43,0.26
1/09/2015 15:00,,,0.041,0.025,0.066,,0.31,0.28
1/09/2015 16:00,,,0.013,0.016,0.029,,0.19,0.27
1/09/2015 17:00,,,0.035,0.027,0.062,,0.29,0.26
1/09/2015 18:00,,,0.018,0.023,0.041,,0.35,0.27
1/09/2015 19:00,,,0.005,0.016,0.021,,0.22,0.27
1/09/2015 20:00,,,0.003,0.012,0.015,,0.18,0.27
1/09/2015 21:00,,,0.001,0.006,0.008,,0.14,0.26
1/09/2015 22:00,,,0.001,0.005,0.006,,0.12,0.22
1/09/2015 23:00,,,0.003,0.004,0.007,,0.13,0.2
2/09/2015 0:00,,,0.008,0.006,0.015,,0.15,0.2
2/09/2015 1:00,,,0.001,0.002,0.003,,0.1,0.17
2/09/2015 2:00,,,0,0.002,0.002,,0.09,0.14
2/09/2015 3:00,,,0,0.002,0.002,,0.08,0.12
2/09/2015 4:00,,,0,0.002,0.002,,0.08,0.11
2/09/2015 5:00,,,0,0.002,0.002,,0.09,0.11
2/09/2015 6:00,,,0.001,0.004,0.005,,0.1,0.1
2/09/2015 7:00,,,0.005,0.01,0.015,,0.11,0.1
2/09/2015 8:00,,,0.013,0.017,0.03,,0.19,0.11
2/09/2015 9:00,,,0.017,0.016,0.032,,0.2,0.12
2/09/2015 10:00,,,0.036,0.017,0.053,,0.2,0.13
2/09/2015 11:00,,,0.025,0.016,0.041,,0.19,0.15
2/09/2015 12:00,,,0.024,0.017,0.041,,0.22,0.16
2/09/2015 13:00,,,0.044,0.019,0.063,,0.24,0.18
2/09/2015 14:00,,,0.039,0.022,0.061,,0.28,0.2
2/09/2015 15:00,,,0.015,0.018,0.032,,0.28,0.23
2/09/2015 16:00,,,0.009,0.015,0.024,,0.25,0.23
2/09/2015 17:00,,,0.013,0.019,0.032,,0.35,0.25
2/09/2015 18:00,,,0.032,0.025,0.057,,0.46,0.28
2/09/2015 19:00,,,0.02,0.016,0.037,,0.33,0.3
2/09/2015 20:00,,,0.024,0.015,0.039,,0.25,0.31
2/09/2015 21:00,,,0.012,0.012,0.024,,0.19,0.3
2/09/2015 22:00,,,0.017,0.011,0.028,,0.16,0.28
2/09/2015 23:00,,,0.009,0.008,0.017,,0.16,0.27
3/09/2015 0:00,,,0.03,0.011,0.041,,0.17,0.26
3/09/2015 1:00,,,0.001,0.003,0.004,,0.12,0.23
3/09/2015 2:00,,,,,,,0.08,0.18
3/09/2015 3:00,,,0.001,0.003,0.004,,,0.16
3/09/2015 4:00,,,0.001,0.003,0.004,,0.11,0.14
3/09/2015 5:00,,,0.004,0.005,0.009,,0.11,0.13
3/09/2015 6:00,,,0.004,0.006,0.01,,0.1,0.12
3/09/2015 7:00,,,0.043,0.022,0.065,,0.15,0.12
3/09/2015 8:00,,,0.047,0.026,0.073,,0.19,0.12
3/09/2015 9:00,,,0.047,0.023,0.07,,0.28,0.14
3/09/2015 10:00,,,0.037,0.018,0.055,,0.17,0.15
3/09/2015 11:00,,,0.027,0.014,0.04,,0.14,0.15
3/09/2015 12:00,,,0.058,0.02,0.078,,0.17,0.16
3/09/2015 13:00,,,0.043,0.016,0.059,,0.13,0.16
3/09/2015 14:00,,,0.026,0.013,0.039,,0.14,0.17
3/09/2015 15:00,,,0.036,0.016,0.052,,0.16,0.17
3/09/2015 16:00,,,0.062,0.022,0.084,,0.21,0.17
3/09/2015 17:00,,,0.074,0.027,0.101,,0.19,0.16
3/09/2015 18:00,,,0.064,0.026,0.09,,0.26,0.18
3/09/2015 19:00,,,0.039,0.021,0.06,,0.21,0.18
3/09/2015 20:00,,,0.03,0.019,0.049,,0.23,0.19
3/09/2015 21:00,,,0.007,0.009,0.016,,0.14,0.19
3/09/2015 22:00,,,0.014,0.013,0.026,,0.15,0.19
3/09/2015 23:00,,,0.031,0.013,0.045,,0.18,0.2
4/09/2015 0:00,,,0.033,0.013,0.046,,0.14,0.19
4/09/2015 1:00,,,0.002,0.007,0.008,,0.18,0.19
4/09/2015 2:00,,,0.003,0.005,0.007,,0.18,0.18
4/09/2015 3:00,,,0.001,0.005,0.006,,0.11,0.16
4/09/2015 4:00,,,0.001,0.002,0.002,,0.06,0.14
4/09/2015 5:00,,,0,0.002,0.002,,0.05,0.13
4/09/2015 6:00,,,0.001,0.004,0.005,,0.06,0.12
4/09/2015 7:00,,,0.042,0.025,0.067,,0.31,0.14
4/09/2015 8:00,,,0.088,0.033,0.122,,0.46,0.18
4/09/2015 9:00,,,0.031,0.018,0.05,,0.3,0.19
4/09/2015 10:00,,,0.024,0.016,0.04,,0.21,0.2
4/09/2015 11:00,,,0.013,0.012,0.025,,0.16,0.2
4/09/2015 12:00,,,0.017,0.013,0.03,,0.27,0.23
4/09/2015 13:00,,,0.026,0.014,0.04,,0.12,0.24
4/09/2015 14:00,,,0.04,0.02,0.06,,0.2,0.25
4/09/2015 15:00,,,0.043,0.019,0.062,,0.17,0.23
4/09/2015 16:00,,,0.072,0.027,0.098,,0.18,0.2
4/09/2015 17:00,,,0.07,0.03,0.1,,0.19,0.19
4/09/2015 18:00,,,0.081,0.028,0.109,,0.19,0.18
4/09/2015 19:00,,,0.031,0.022,0.052,,0.22,0.19
4/09/2015 20:00,,,0.03,0.019,0.048,,0.28,0.19
4/09/2015 21:00,,,0.007,0.016,0.022,,0.17,0.2
4/09/2015 22:00,,,0.004,0.014,0.018,,0.16,0.19
4/09/2015 23:00,,,0.004,0.012,0.016,,0.11,0.19
5/09/2015 0:00,,,0.001,0.005,0.006,,0.08,0.17
5/09/2015 1:00,,,0.001,0.006,0.006,,0.13,0.17
5/09/2015 2:00,,,,,,,0.09,0.15
5/09/2015 3:00,,,0.001,0.003,0.003,,,0.14
5/09/2015 4:00,,,0,0.004,0.004,,0.11,0.12
5/09/2015 5:00,,,0.001,0.003,0.004,,0.08,0.11
5/09/2015 6:00,,,0.006,0.013,0.019,,0.16,0.11
