"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/03/2018 01:00,,,0.000,0.003,0.003,,0.03,0.10
1/03/2018 02:00,,,,,,,0.02,0.08
1/03/2018 03:00,,,0.001,0.003,0.004,,,0.08
1/03/2018 04:00,,,0.000,0.003,0.003,,0.02,0.06
1/03/2018 05:00,,,0.002,0.006,0.007,,0.03,0.05
1/03/2018 06:00,,,0.031,0.010,0.041,,0.06,0.04
1/03/2018 07:00,,,0.013,0.011,0.023,,0.07,0.04
1/03/2018 08:00,,,0.013,0.012,0.025,,0.13,0.05
1/03/2018 09:00,,,0.030,0.015,0.045,,0.10,0.06
1/03/2018 10:00,,,0.026,0.013,0.040,,0.11,0.07
1/03/2018 11:00,,,0.023,0.012,0.034,,0.11,0.08
1/03/2018 12:00,,,0.032,0.012,0.044,,0.09,0.09
1/03/2018 13:00,,,0.014,0.011,0.024,,0.07,0.09
1/03/2018 14:00,,,0.009,0.010,0.019,,0.06,0.09
1/03/2018 15:00,,,0.010,0.012,0.022,,0.11,0.10
1/03/2018 16:00,,,0.014,0.021,0.034,,0.07,0.09
1/03/2018 17:00,,,0.012,0.015,0.026,,0.11,0.09
1/03/2018 18:00,,,0.005,0.011,0.015,,0.10,0.09
1/03/2018 19:00,,,0.003,0.012,0.015,,0.09,0.09
1/03/2018 20:00,,,0.001,0.009,0.010,,0.08,0.08
1/03/2018 21:00,,,0.010,0.013,0.023,,0.09,0.09
1/03/2018 22:00,,,0.003,0.009,0.012,,0.09,0.09
1/03/2018 23:00,,,0.010,0.008,0.018,,0.06,0.08
2/03/2018 00:00,,,0.006,0.016,0.022,,0.14,0.09
2/03/2018 01:00,,,0.002,0.009,0.010,,0.07,0.09
2/03/2018 02:00,,,0.005,0.019,0.024,,0.13,0.09
2/03/2018 03:00,,,0.003,0.014,0.017,,0.17,0.10
2/03/2018 04:00,,,0.000,0.009,0.009,,0.05,0.10
2/03/2018 05:00,,,0.001,0.010,0.010,,0.04,0.09
2/03/2018 06:00,,,0.003,0.015,0.018,,0.07,0.09
2/03/2018 07:00,,,0.008,0.017,0.025,,0.11,0.10
2/03/2018 08:00,,,0.014,0.020,0.034,,0.15,0.10
2/03/2018 09:00,,,0.010,0.016,0.026,,0.12,0.10
2/03/2018 10:00,,,0.007,0.013,0.020,,0.10,0.10
2/03/2018 11:00,,,0.017,0.016,0.034,,0.14,0.10
2/03/2018 12:00,,,0.056,0.020,0.077,,0.17,0.11
2/03/2018 13:00,,,0.055,0.032,0.087,,0.11,0.12
2/03/2018 14:00,,,0.050,0.024,0.074,,0.10,0.12
2/03/2018 15:00,,,0.036,0.027,0.063,,0.13,0.13
2/03/2018 16:00,,,0.084,0.062,0.146,,0.12,0.12
2/03/2018 17:00,,,0.082,0.059,0.140,,0.15,0.13
2/03/2018 18:00,,,0.029,0.026,0.055,,0.15,0.13
2/03/2018 19:00,,,0.027,0.019,0.046,,0.17,0.14
2/03/2018 20:00,,,0.011,0.014,0.025,,0.24,0.15
2/03/2018 21:00,,,0.023,0.016,0.039,,0.26,0.16
2/03/2018 22:00,,,0.013,0.013,0.026,,0.24,0.18
2/03/2018 23:00,,,0.062,0.021,0.083,,0.33,0.20
3/03/2018 00:00,,,0.005,0.010,0.015,,0.19,0.21
3/03/2018 01:00,,,0.005,0.020,0.025,,0.24,0.22
3/03/2018 02:00,,,,,,,0.26,0.24
3/03/2018 03:00,,,0.002,0.014,0.016,,,0.24
3/03/2018 04:00,,,0.003,0.016,0.018,,0.20,0.24
3/03/2018 05:00,,,0.006,0.016,0.022,,0.15,0.22
3/03/2018 06:00,,,0.006,0.015,0.021,,0.17,0.21
3/03/2018 07:00,,,0.010,0.012,0.022,,0.13,0.19
3/03/2018 08:00,,,0.011,0.015,0.026,,0.12,0.18
3/03/2018 09:00,,,0.013,0.011,0.024,,0.07,0.16
3/03/2018 10:00,,,0.038,0.014,0.052,,0.09,0.14
3/03/2018 11:00,,,0.017,0.011,0.028,,0.09,0.13
3/03/2018 12:00,,,0.006,0.007,0.013,,0.10,0.11
3/03/2018 13:00,,,0.006,0.008,0.014,,0.10,0.11
3/03/2018 14:00,,,0.012,0.011,0.023,,0.10,0.10
3/03/2018 15:00,,,0.014,0.010,0.024,,0.08,0.09
3/03/2018 16:00,,,0.007,0.007,0.013,,0.08,0.09
3/03/2018 17:00,,,0.006,0.009,0.015,,0.09,0.09
3/03/2018 18:00,,,0.026,0.015,0.041,,0.10,0.09
3/03/2018 19:00,,,0.003,0.007,0.010,,0.09,0.09
3/03/2018 20:00,,,0.003,0.007,0.010,,0.07,0.09
3/03/2018 21:00,,,0.003,0.007,0.010,,0.08,0.09
3/03/2018 22:00,,,0.017,0.012,0.028,,0.16,0.09
3/03/2018 23:00,,,0.027,0.014,0.042,,0.11,0.10
4/03/2018 00:00,,,0.007,0.008,0.015,,0.10,0.10
4/03/2018 01:00,,,0.001,0.006,0.007,,0.08,0.10
4/03/2018 02:00,,,0.002,0.006,0.008,,0.07,0.10
4/03/2018 03:00,,,0.004,0.005,0.009,,0.05,0.09
4/03/2018 04:00,,,0.000,0.003,0.003,,0.04,0.09
4/03/2018 05:00,,,0.000,0.003,0.003,,0.03,0.08
4/03/2018 06:00,,,0.002,0.006,0.008,,0.08,0.07
4/03/2018 07:00,,,0.015,0.014,0.029,,0.10,0.07
4/03/2018 08:00,,,0.006,0.008,0.014,,0.10,0.07
4/03/2018 09:00,,,0.036,0.016,0.052,,0.08,0.07
4/03/2018 10:00,,,0.010,0.009,0.020,,0.05,0.07
