"Date/Time","O3 UVA ppm","O3 4hr UVA ppm","NO Chemiluminescence ppm","NO2 calc Chemiluminescence ppm","NOx Chemiluminescence ppm","SO2 UVF ppm","CO GPC ppm","CO 8hr GPC ppm"
1/05/2016 01:00,,,0.004,0.003,0.006,,0.05,0.13
1/05/2016 02:00,,,0.002,0.003,0.005,,0.04,0.09
1/05/2016 03:00,,,0.002,0.003,0.004,,0.04,0.07
1/05/2016 04:00,,,0.001,0.002,0.003,,0.03,0.06
1/05/2016 05:00,,,0.000,0.001,0.001,,0.02,0.05
1/05/2016 06:00,,,0.000,0.001,0.001,,0.01,0.04
1/05/2016 07:00,,,0.000,0.002,0.002,,0.02,0.03
1/05/2016 08:00,,,0.001,0.003,0.004,,0.02,0.03
1/05/2016 09:00,,,0.011,0.010,0.021,,0.04,0.03
1/05/2016 10:00,,,0.012,0.007,0.019,,0.01,0.02
1/05/2016 11:00,,,0.011,0.006,0.017,,0.00,0.02
1/05/2016 12:00,,,0.009,0.006,0.014,,0.01,0.02
1/05/2016 13:00,,,0.011,0.007,0.018,,0.05,0.02
1/05/2016 14:00,,,0.011,0.008,0.018,,0.04,0.02
1/05/2016 15:00,,,0.015,0.009,0.024,,0.10,0.03
1/05/2016 16:00,,,0.017,0.011,0.028,,0.20,0.06
1/05/2016 17:00,,,0.017,0.012,0.029,,0.14,0.07
1/05/2016 18:00,,,0.075,0.028,0.102,,0.62,0.14
1/05/2016 19:00,,,0.029,0.016,0.045,,0.24,0.17
1/05/2016 20:00,,,0.051,0.014,0.065,,0.24,0.20
1/05/2016 21:00,,,0.034,0.017,0.052,,0.12,0.21
1/05/2016 22:00,,,0.007,0.011,0.017,,0.15,0.23
1/05/2016 23:00,,,0.006,0.012,0.018,,0.11,0.23
2/05/2016 00:00,,,0.004,0.012,0.016,,0.11,0.22
2/05/2016 01:00,,,0.000,0.004,0.004,,0.03,0.21
2/05/2016 02:00,,,,,,,0.05,0.13
2/05/2016 03:00,,,0.001,0.008,0.009,,,0.11
2/05/2016 04:00,,,0.000,0.005,0.005,,0.03,0.08
2/05/2016 05:00,,,0.001,0.008,0.009,,0.03,0.07
2/05/2016 06:00,,,0.002,0.010,0.013,,0.05,0.06
2/05/2016 07:00,,,0.012,0.018,0.030,,0.09,0.05
2/05/2016 08:00,,,0.027,0.021,0.048,,0.19,0.06
2/05/2016 09:00,,,0.055,0.023,0.078,,0.25,0.09
2/05/2016 10:00,,,0.049,0.023,0.072,,0.18,0.11
2/05/2016 11:00,,,0.028,0.016,0.044,,0.12,0.12
2/05/2016 12:00,,,0.030,0.017,0.047,,0.14,0.13
2/05/2016 13:00,,,0.030,0.015,0.045,,0.14,0.14
